source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,10
0,11
0,12
0,16
0,17
0,18
0,19
0,23
0,24
0,25
0,26
0,30
0,32
0,33
0,40
0,43
0,44
0,46
0,53
0,54
0,61
0,67
0,72
0,77
0,80
0,82
0,83
0,86
0,87
0,94
0,96
0,101
0,119
0,122
0,129
0,140
0,148
0,149
0,158
0,168
0,215
0,225
0,227
0,233
0,240
0,248
0,268
0,272
0,284
0,298
0,306
0,316
0,321
0,357
0,367
0,380
0,382
0,390
0,397
0,403
0,412
0,418
0,419
0,430
0,435
0,461
0,462
0,486
0,499
0,500
0,505
0,517
0,521
0,531
0,538
0,547
0,549
0,550
0,572
0,584
0,592
0,595
0,597
0,601
0,602
0,644
0,647
0,648
0,669
0,703
0,718
0,722
0,757
0,768
0,769
0,776
0,796
0,863
0,881
0,884
0,938
0,956
0,992
1,6
1,7
1,8
1,9
1,10
1,12
1,13
1,15
1,16
1,17
1,20
1,25
1,28
1,33
1,34
1,37
1,38
1,41
1,47
1,69
1,79
1,80
1,96
1,97
1,117
1,122
1,125
1,133
1,142
1,153
1,156
1,161
1,162
1,167
1,173
1,201
1,219
1,249
1,258
1,270
1,275
1,284
1,290
1,296
1,303
1,317
1,318
1,323
1,325
1,352
1,366
1,370
1,397
1,416
1,420
1,429
1,433
1,475
1,479
1,482
1,485
1,487
1,492
1,512
1,513
1,521
1,534
1,546
1,548
1,551
1,558
1,561
1,577
1,606
1,622
1,642
1,675
1,680
1,681
1,699
1,705
1,727
1,743
1,769
1,770
1,771
1,779
1,869
1,938
1,941
1,948
1,963
1,978
2,6
2,7
2,9
2,10
2,14
2,18
2,25
2,27
2,46
2,52
2,57
2,65
2,70
2,73
2,74
2,90
2,92
2,115
2,124
2,211
2,219
2,261
2,270
2,286
2,292
2,305
2,318
2,369
2,443
2,458
2,512
2,545
2,573
2,596
2,619
2,628
2,637
2,695
2,781
2,917
2,959
2,961
2,965
2,968
3,7
3,9
3,11
3,15
3,21
3,30
3,32
3,33
3,36
3,39
3,42
3,50
3,51
3,58
3,59
3,65
3,66
3,67
3,83
3,84
3,91
3,103
3,132
3,151
3,163
3,191
3,207
3,213
3,230
3,274
3,288
3,301
3,352
3,362
3,447
3,469
3,516
3,537
3,544
3,582
3,598
3,641
3,657
3,665
3,674
3,688
3,704
3,720
3,760
3,761
3,782
3,792
3,806
3,808
3,823
3,872
3,912
3,998
3,999
4,6
4,10
4,13
4,17
4,44
4,62
4,63
4,77
4,85
4,109
4,116
4,178
4,187
4,238
4,242
4,248
4,266
4,278
4,281
4,332
4,344
4,466
4,471
4,511
4,515
4,532
4,664
4,690
4,779
4,812
4,952
4,963
5,6
5,8
5,9
5,11
5,18
5,19
5,23
5,24
5,26
5,35
5,36
5,41
5,55
5,56
5,63
5,80
5,90
5,99
5,103
5,111
5,119
5,120
5,126
5,143
5,149
5,151
5,156
5,163
5,180
5,182
5,204
5,231
5,232
5,233
5,236
5,250
5,279
5,307
5,314
5,329
5,336
5,346
5,389
5,401
5,429
5,454
5,456
5,497
5,516
5,530
5,577
5,590
5,614
5,630
5,648
5,653
5,658
5,737
5,743
5,751
5,766
5,817
5,827
5,830
5,902
5,910
5,913
5,951
5,984
6,7
6,8
6,10
6,11
6,12
6,13
6,17
6,18
6,19
6,20
6,21
6,24
6,27
6,28
6,29
6,30
6,33
6,38
6,40
6,43
6,44
6,55
6,56
6,58
6,62
6,63
6,81
6,84
6,87
6,88
6,89
6,95
6,101
6,112
6,114
6,117
6,119
6,156
6,164
6,176
6,181
6,182
6,190
6,197
6,198
6,204
6,212
6,227
6,240
6,242
6,247
6,263
6,270
6,275
6,276
6,282
6,320
6,332
6,335
6,341
6,345
6,354
6,359
6,361
6,366
6,380
6,381
6,384
6,393
6,400
6,402
6,405
6,424
6,427
6,430
6,435
6,447
6,508
6,510
6,514
6,516
6,539
6,542
6,546
6,564
6,566
6,585
6,604
6,625
6,646
6,647
6,665
6,695
6,701
6,705
6,710
6,733
6,745
6,764
6,767
6,881
6,893
6,900
6,929
6,943
6,954
6,958
7,8
7,14
7,16
7,21
7,34
7,42
7,52
7,53
7,69
7,71
7,91
7,97
7,107
7,108
7,116
7,120
7,128
7,132
7,134
7,138
7,148
7,151
7,161
7,175
7,195
7,202
7,203
7,253
7,277
7,312
7,316
7,348
7,355
7,367
7,399
7,459
7,480
7,524
7,543
7,546
7,549
7,550
7,574
7,578
7,619
7,627
7,638
7,668
7,674
7,678
7,694
7,713
7,727
7,810
7,814
7,822
7,824
7,834
7,838
7,861
7,876
7,887
7,939
7,968
8,9
8,12
8,14
8,15
8,21
8,30
8,36
8,47
8,49
8,51
8,53
8,57
8,59
8,73
8,78
8,79
8,97
8,113
8,125
8,127
8,128
8,143
8,185
8,189
8,191
8,193
8,202
8,270
8,276
8,292
8,295
8,356
8,357
8,451
8,460
8,480
8,488
8,494
8,562
8,616
8,639
8,666
8,668
8,683
8,715
8,739
8,797
8,819
8,835
8,852
8,883
8,889
8,894
8,915
8,941
8,993
9,11
9,12
9,13
9,16
9,23
9,25
9,27
9,30
9,32
9,39
9,40
9,45
9,49
9,54
9,55
9,59
9,60
9,71
9,78
9,79
9,92
9,93
9,113
9,144
9,145
9,157
9,164
9,174
9,176
9,177
9,188
9,206
9,216
9,231
9,240
9,255
9,256
9,301
9,322
9,370
9,380
9,385
9,396
9,406
9,422
9,428
9,492
9,521
9,551
9,559
9,569
9,578
9,582
9,650
9,660
9,701
9,735
9,773
9,804
9,827
9,865
9,868
9,877
9,886
9,894
9,929
9,962
9,986
10,14
10,20
10,26
10,29
10,31
10,32
10,49
10,50
10,51
10,68
10,69
10,81
10,110
10,111
10,116
10,135
10,143
10,150
10,166
10,179
10,184
10,203
10,237
10,247
10,266
10,274
10,350
10,368
10,371
10,375
10,377
10,406
10,426
10,486
10,491
10,503
10,506
10,519
10,548
10,553
10,641
10,674
10,675
10,683
10,698
10,740
10,746
10,772
10,814
10,818
10,861
10,871
10,873
10,879
10,973
11,13
11,14
11,17
11,18
11,21
11,28
11,34
11,45
11,46
11,48
11,65
11,76
11,114
11,194
11,222
11,318
11,404
11,422
11,431
11,473
11,482
11,484
11,501
11,528
11,537
11,539
11,555
11,597
11,662
11,711
11,719
11,722
11,730
11,819
11,846
11,914
12,22
12,29
12,33
12,37
12,43
12,46
12,52
12,57
12,63
12,72
12,103
12,112
12,114
12,116
12,126
12,129
12,130
12,139
12,181
12,188
12,202
12,210
12,220
12,231
12,254
12,257
12,265
12,268
12,285
12,315
12,317
12,333
12,334
12,360
12,362
12,371
12,402
12,465
12,470
12,501
12,517
12,535
12,541
12,572
12,600
12,606
12,613
12,631
12,648
12,704
12,713
12,799
12,841
12,883
12,966
12,973
13,15
13,16
13,19
13,22
13,24
13,27
13,28
13,29
13,31
13,34
13,36
13,38
13,62
13,74
13,82
13,86
13,91
13,98
13,112
13,126
13,141
13,154
13,169
13,174
13,208
