voter_id,agent_type,loyalty,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,initial_vote
0,mixed,0.898,Zemmour,Dupont-Aignan,Melenchon,Hidalgo,Roussel,Arthaud,Lassalle,Macron,Poutou,Pecresse,Le Pen,Jadot,Zemmour
1,strategic,0.0,Zemmour,Arthaud,Lassalle,Dupont-Aignan,Hidalgo,Le Pen,Roussel,Jadot,Melenchon,Pecresse,Macron,Poutou,Zemmour
2,mixed,0.674,Pecresse,Hidalgo,Poutou,Dupont-Aignan,Lassalle,Arthaud,Melenchon,Zemmour,Le Pen,Roussel,Jadot,Macron,Pecresse
3,strategic,0.0,Hidalgo,Zemmour,Le Pen,Arthaud,Dupont-Aignan,Lassalle,Macron,Jadot,Pecresse,Melenchon,Roussel,Poutou,Hidalgo
4,mixed,0.683,Pecresse,Dupont-Aignan,Poutou,Arthaud,Le Pen,Macron,Roussel,Hidalgo,Zemmour,Melenchon,Lassalle,Jadot,Pecresse
5,stubborn,1.0,Dupont-Aignan,Zemmour,Hidalgo,Jadot,Poutou,Lassalle,Melenchon,Macron,Arthaud,Pecresse,Le Pen,Roussel,Dupont-Aignan
6,stubborn,1.0,Roussel,Poutou,Lassalle,Hidalgo,Arthaud,Macron,Dupont-Aignan,Pecresse,Zemmour,Le Pen,Melenchon,Jadot,Roussel
7,stubborn,1.0,Le Pen,Melenchon,Macron,Jadot,Zemmour,Dupont-Aignan,Roussel,Arthaud,Poutou,Hidalgo,Pecresse,Lassalle,Le Pen
8,mixed,0.559,Macron,Arthaud,Roussel,Hidalgo,Dupont-Aignan,Zemmour,Le Pen,Pecresse,Jadot,Poutou,Lassalle,Melenchon,Macron
9,strategic,0.0,Jadot,Zemmour,Melenchon,Arthaud,Dupont-Aignan,Roussel,Hidalgo,Pecresse,Le Pen,Poutou,Lassalle,Macron,Jadot
10,mixed,0.524,Le Pen,Hidalgo,Zemmour,Arthaud,Melenchon,Poutou,Lassalle,Dupont-Aignan,Jadot,Roussel,Macron,Pecresse,Le Pen
11,stubborn,1.0,Dupont-Aignan,Hidalgo,Melenchon,Le Pen,Roussel,Poutou,Arthaud,Lassalle,Jadot,Macron,Zemmour,Pecresse,Dupont-Aignan
12,stubborn,1.0,Lassalle,Arthaud,Pecresse,Macron,Melenchon,Hidalgo,Roussel,Le Pen,Dupont-Aignan,Jadot,Poutou,Zemmour,Lassalle
13,mixed,0.425,Poutou,Macron,Arthaud,Dupont-Aignan,Pecresse,Lassalle,Hidalgo,Melenchon,Le Pen,Roussel,Zemmour,Jadot,Poutou
14,mixed,0.729,Pecresse,Macron,Jadot,Arthaud,Zemmour,Roussel,Dupont-Aignan,Lassalle,Hidalgo,Le Pen,Poutou,Melenchon,Pecresse
15,mixed,0.643,Jadot,Le Pen,Pecresse,Zemmour,Melenchon,Macron,Hidalgo,Arthaud,Poutou,Lassalle,Roussel,Dupont-Aignan,Jadot
16,strategic,0.0,Zemmour,Pecresse,Arthaud,Macron,Lassalle,Roussel,Hidalgo,Poutou,Le Pen,Dupont-Aignan,Melenchon,Jadot,Zemmour
17,strategic,0.0,Hidalgo,Le Pen,Jadot,Melenchon,Macron,Zemmour,Pecresse,Lassalle,Poutou,Roussel,Dupont-Aignan,Arthaud,Hidalgo
18,stubborn,1.0,Zemmour,Pecresse,Roussel,Arthaud,Poutou,Jadot,Dupont-Aignan,Le Pen,Melenchon,Macron,Lassalle,Hidalgo,Zemmour
19,mixed,0.598,Jadot,Le Pen,Macron,Melenchon,Lassalle,Pecresse,Zemmour,Roussel,Poutou,Hidalgo,Arthaud,Dupont-Aignan,Jadot
20,mixed,0.482,Zemmour,Arthaud,Pecresse,Poutou,Macron,Hidalgo,Lassalle,Jadot,Melenchon,Roussel,Dupont-Aignan,Le Pen,Zemmour
21,mixed,0.669,Jadot,Le Pen,Lassalle,Dupont-Aignan,Macron,Melenchon,Zemmour,Poutou,Pecresse,Arthaud,Hidalgo,Roussel,Jadot
22,strategic,0.0,Lassalle,Roussel,Melenchon,Pecresse,Zemmour,Poutou,Le Pen,Macron,Hidalgo,Jadot,Dupont-Aignan,Arthaud,Lassalle
23,mixed,0.842,Jadot,Zemmour,Poutou,Lassalle,Roussel,Arthaud,Pecresse,Melenchon,Dupont-Aignan,Macron,Le Pen,Hidalgo,Jadot
24,strategic,0.0,Pecresse,Le Pen,Roussel,Jadot,Melenchon,Macron,Dupont-Aignan,Lassalle,Zemmour,Poutou,Hidalgo,Arthaud,Pecresse
25,mixed,0.435,Arthaud,Le Pen,Zemmour,Poutou,Pecresse,Melenchon,Macron,Roussel,Jadot,Dupont-Aignan,Lassalle,Hidalgo,Arthaud
26,strategic,0.0,Melenchon,Roussel,Hidalgo,Pecresse,Arthaud,Poutou,Macron,Le Pen,Lassalle,Dupont-Aignan,Zemmour,Jadot,Melenchon
27,stubborn,1.0,Le Pen,Macron,Poutou,Pecresse,Zemmour,Lassalle,Arthaud,Hidalgo,Roussel,Dupont-Aignan,Jadot,Melenchon,Le Pen
28,strategic,0.0,Zemmour,Roussel,Melenchon,Le Pen,Jadot,Arthaud,Dupont-Aignan,Macron,Poutou,Hidalgo,Pecresse,Lassalle,Zemmour
29,strategic,0.0,Poutou,Roussel,Dupont-Aignan,Hidalgo,Melenchon,Lassalle,Arthaud,Macron,Zemmour,Pecresse,Jadot,Le Pen,Poutou
30,strategic,0.0,Jadot,Le Pen,Hidalgo,Roussel,Dupont-Aignan,Zemmour,Melenchon,Pecresse,Poutou,Arthaud,Macron,Lassalle,Jadot
31,strategic,0.0,Melenchon,Lassalle,Arthaud,Dupont-Aignan,Zemmour,Pecresse,Le Pen,Macron,Hidalgo,Poutou,Jadot,Roussel,Melenchon
32,mixed,0.465,Macron,Roussel,Lassalle,Dupont-Aignan,Zemmour,Jadot,Pecresse,Poutou,Arthaud,Hidalgo,Le Pen,Melenchon,Macron
33,mixed,0.705,Jadot,Hidalgo,Le Pen,Arthaud,Macron,Poutou,Roussel,Dupont-Aignan,Melenchon,Lassalle,Pecresse,Zemmour,Jadot
34,mixed,0.588,Roussel,Dupont-Aignan,Pecresse,Arthaud,Zemmour,Macron,Poutou,Hidalgo,Melenchon,Jadot,Le Pen,Lassalle,Roussel
35,stubborn,1.0,Lassalle,Zemmour,Roussel,Macron,Le Pen,Arthaud,Dupont-Aignan,Pecresse,Poutou,Melenchon,Hidalgo,Jadot,Lassalle
36,stubborn,1.0,Jadot,Pecresse,Zemmour,Macron,Le Pen,Dupont-Aignan,Hidalgo,Roussel,Melenchon,Arthaud,Lassalle,Poutou,Jadot
37,mixed,0.848,Arthaud,Zemmour,Le Pen,Lassalle,Pecresse,Dupont-Aignan,Poutou,Macron,Hidalgo,Roussel,Melenchon,Jadot,Arthaud
38,strategic,0.0,Poutou,Zemmour,Jadot,Hidalgo,Le Pen,Macron,Dupont-Aignan,Arthaud,Roussel,Pecresse,Lassalle,Melenchon,Poutou
39,mixed,0.526,Macron,Poutou,Melenchon,Jadot,Pecresse,Lassalle,Roussel,Hidalgo,Zemmour,Le Pen,Arthaud,Dupont-Aignan,Macron
40,mixed,0.724,Hidalgo,Roussel,Macron,Jadot,Dupont-Aignan,Poutou,Arthaud,Le Pen,Zemmour,Melenchon,Lassalle,Pecresse,Hidalgo
41,mixed,0.785,Poutou,Macron,Roussel,Zemmour,Jadot,Arthaud,Melenchon,Dupont-Aignan,Lassalle,Hidalgo,Pecresse,Le Pen,Poutou
42,stubborn,1.0,Melenchon,Poutou,Dupont-Aignan,Pecresse,Zemmour,Hidalgo,Macron,Arthaud,Roussel,Jadot,Lassalle,Le Pen,Melenchon
43,mixed,0.408,Hidalgo,Pecresse,Arthaud,Le Pen,Zemmour,Jadot,Macron,Dupont-Aignan,Melenchon,Poutou,Roussel,Lassalle,Hidalgo
44,mixed,0.834,Lassalle,Poutou,Le Pen,Arthaud,Pecresse,Jadot,Zemmour,Roussel,Dupont-Aignan,Hidalgo,Melenchon,Macron,Lassalle
45,mixed,0.653,Pecresse,Poutou,Macron,Melenchon,Hidalgo,Roussel,Zemmour,Arthaud,Jadot,Dupont-Aignan,Lassalle,Le Pen,Pecresse
46,strategic,0.0,Pecresse,Roussel,Dupont-Aignan,Poutou,Zemmour,Lassalle,Melenchon,Macron,Hidalgo,Jadot,Arthaud,Le Pen,Pecresse
47,strategic,0.0,Pecresse,Hidalgo,Arthaud,Le Pen,Melenchon,Lassalle,Roussel,Macron,Zemmour,Dupont-Aignan,Poutou,Jadot,Pecresse
48,mixed,0.813,Pecresse,Roussel,Zemmour,Arthaud,Dupont-Aignan,Macron,Le Pen,Melenchon,Jadot,Poutou,Hidalgo,Lassalle,Pecresse
49,mixed,0.524,Lassalle,Arthaud,Roussel,Jadot,Macron,Pecresse,Dupont-Aignan,Melenchon,Hidalgo,Zemmour,Le Pen,Poutou,Lassalle
50,mixed,0.877,Jadot,Lassalle,Roussel,Hidalgo,Melenchon,Le Pen,Arthaud,Macron,Dupont-Aignan,Pecresse,Poutou,Zemmour,Jadot
51,strategic,0.0,Dupont-Aignan,Melenchon,Macron,Roussel,Hidalgo,Poutou,Jadot,Lassalle,Le Pen,Arthaud,Pecresse,Zemmour,Dupont-Aignan
52,mixed,0.655,Le Pen,Macron,Jadot,Dupont-Aignan,Zemmour,Pecresse,Lassalle,Poutou,Roussel,Melenchon,Arthaud,Hidalgo,Le Pen
53,mixed,0.736,Macron,Dupont-Aignan,Poutou,Melenchon,Zemmour,Jadot,Hidalgo,Arthaud,Le Pen,Lassalle,Roussel,Pecresse,Macron
54,mixed,0.771,Hidalgo,Roussel,Jadot,Poutou,Zemmour,Arthaud,Pecresse,Le Pen,Lassalle,Melenchon,Dupont-Aignan,Macron,Hidalgo
55,stubborn,1.0,Melenchon,Macron,Lassalle,Poutou,Dupont-Aignan,Hidalgo,Le Pen,Jadot,Zemmour,Pecresse,Roussel,Arthaud,Melenchon
56,stubborn,1.0,Le Pen,Lassalle,Roussel,Pecresse,Arthaud,Zemmour,Melenchon,Macron,Jadot,Hidalgo,Dupont-Aignan,Poutou,Le Pen
57,strategic,0.0,Lassalle,Le Pen,Arthaud,Dupont-Aignan,Poutou,Pecresse,Roussel,Zemmour,Hidalgo,Jadot,Macron,Melenchon,Lassalle
58,stubborn,1.0,Zemmour,Lassalle,Pecresse,Jadot,Roussel,Melenchon,Arthaud,Le Pen,Poutou,Hidalgo,Macron,Dupont-Aignan,Zemmour
59,strategic,0.0,Pecresse,Roussel,Macron,Le Pen,Poutou,Melenchon,Dupont-Aignan,Jadot,Zemmour,Arthaud,Hidalgo,Lassalle,Pecresse
60,mixed,0.451,Macron,Le Pen,Arthaud,Dupont-Aignan,Pecresse,Jadot,Poutou,Hidalgo,Melenchon,Lassalle,Zemmour,Roussel,Macron
61,mixed,0.735,Melenchon,Pecresse,Hidalgo,Zemmour,Jadot,Macron,Poutou,Arthaud,Dupont-Aignan,Le Pen,Roussel,Lassalle,Melenchon
62,mixed,0.75,Roussel,Arthaud,Zemmour,Melenchon,Pecresse,Macron,Poutou,Lassalle,Le Pen,Dupont-Aignan,Hidalgo,Jadot,Roussel
63,stubborn,1.0,Jadot,Dupont-Aignan,Poutou,Melenchon,Pecresse,Arthaud,Roussel,Le Pen,Lassalle,Macron,Zemmour,Hidalgo,Jadot
64,strategic,0.0,Arthaud,Pecresse,Lassalle,Macron,Zemmour,Melenchon,Jadot,Roussel,Hidalgo,Dupont-Aignan,Poutou,Le Pen,Arthaud
65,mixed,0.586,Jadot,Lassalle,Zemmour,Arthaud,Pecresse,Poutou,Dupont-Aignan,Le Pen,Macron,Roussel,Hidalgo,Melenchon,Jadot
66,mixed,0.635,Melenchon,Hidalgo,Macron,Roussel,Zemmour,Jadot,Poutou,Lassalle,Pecresse,Le Pen,Dupont-Aignan,Arthaud,Melenchon
67,mixed,0.565,Lassalle,Roussel,Arthaud,Le Pen,Poutou,Macron,Melenchon,Zemmour,Hidalgo,Jadot,Dupont-Aignan,Pecresse,Lassalle
68,strategic,0.0,Melenchon,Zemmour,Hidalgo,Jadot,Lassalle,Roussel,Arthaud,Poutou,Macron,Le Pen,Pecresse,Dupont-Aignan,Melenchon
69,stubborn,1.0,Poutou,Roussel,Zemmour,Arthaud,Hidalgo,Dupont-Aignan,Melenchon,Lassalle,Pecresse,Le Pen,Jadot,Macron,Poutou
70,mixed,0.583,Le Pen,Poutou,Pecresse,Hidalgo,Arthaud,Melenchon,Zemmour,Roussel,Lassalle,Macron,Dupont-Aignan,Jadot,Le Pen
71,strategic,0.0,Hidalgo,Pecresse,Arthaud,Melenchon,Roussel,Macron,Le Pen,Zemmour,Jadot,Poutou,Dupont-Aignan,Lassalle,Hidalgo
72,mixed,0.86,Zemmour,Poutou,Melenchon,Jadot,Macron,Hidalgo,Dupont-Aignan,Le Pen,Pecresse,Roussel,Arthaud,Lassalle,Zemmour
73,stubborn,1.0,Dupont-Aignan,Hidalgo,Zemmour,Arthaud,Jadot,Le Pen,Roussel,Pecresse,Poutou,Lassalle,Macron,Melenchon,Dupont-Aignan
74,strategic,0.0,Melenchon,Poutou,Dupont-Aignan,Le Pen,Macron,Lassalle,Pecresse,Jadot,Arthaud,Zemmour,Roussel,Hidalgo,Melenchon
75,strategic,0.0,Poutou,Hidalgo,Lassalle,Zemmour,Arthaud,Macron,Pecresse,Melenchon,Le Pen,Roussel,Dupont-Aignan,Jadot,Poutou
76,strategic,0.0,Dupont-Aignan,Le Pen,Lassalle,Hidalgo,Poutou,Macron,Roussel,Jadot,Pecresse,Zemmour,Melenchon,Arthaud,Dupont-Aignan
77,strategic,0.0,Roussel,Le Pen,Macron,Jadot,Dupont-Aignan,Melenchon,Hidalgo,Lassalle,Pecresse,Arthaud,Zemmour,Poutou,Roussel
78,mixed,0.677,Macron,Zemmour,Melenchon,Le Pen,Jadot,Lassalle,Roussel,Dupont-Aignan,Arthaud,Pecresse,Hidalgo,Poutou,Macron
79,mixed,0.543,Macron,Pecresse,Roussel,Jadot,Arthaud,Hidalgo,Le Pen,Lassalle,Poutou,Melenchon,Zemmour,Dupont-Aignan,Macron
80,mixed,0.571,Poutou,Dupont-Aignan,Arthaud,Lassalle,Jadot,Roussel,Hidalgo,Melenchon,Pecresse,Le Pen,Zemmour,Macron,Poutou
81,stubborn,1.0,Roussel,Dupont-Aignan,Zemmour,Melenchon,Macron,Hidalgo,Le Pen,Poutou,Jadot,Lassalle,Arthaud,Pecresse,Roussel
82,mixed,0.607,Dupont-Aignan,Poutou,Zemmour,Pecresse,Le Pen,Lassalle,Jadot,Arthaud,Hidalgo,Roussel,Macron,Melenchon,Dupont-Aignan
83,strategic,0.0,Pecresse,Le Pen,Poutou,Lassalle,Hidalgo,Macron,Zemmour,Roussel,Melenchon,Dupont-Aignan,Jadot,Arthaud,Pecresse
84,mixed,0.613,Roussel,Le Pen,Jadot,Dupont-Aignan,Hidalgo,Macron,Poutou,Melenchon,Pecresse,Lassalle,Arthaud,Zemmour,Roussel
85,mixed,0.801,Poutou,Melenchon,Hidalgo,Lassalle,Zemmour,Le Pen,Macron,Roussel,Arthaud,Pecresse,Dupont-Aignan,Jadot,Poutou
86,strategic,0.0,Macron,Le Pen,Dupont-Aignan,Poutou,Hidalgo,Melenchon,Lassalle,Arthaud,Pecresse,Roussel,Zemmour,Jadot,Macron
87,mixed,0.42,Macron,Zemmour,Pecresse,Melenchon,Arthaud,Le Pen,Lassalle,Jadot,Roussel,Dupont-Aignan,Poutou,Hidalgo,Macron
