source,target
0,482
0,487
0,705
0,772
0,781
0,820
0,847
0,883
1,28
1,64
1,73
1,366
1,525
1,628
1,826
1,839
1,899
2,314
2,427
2,465
2,586
2,675
2,703
2,801
2,961
3,222
3,235
3,292
3,505
3,520
3,532
3,544
3,792
3,865
4,44
4,68
4,222
4,267
4,323
4,545
4,598
4,704
4,763
4,805
4,962
5,28
5,469
5,589
5,651
5,661
5,747
5,948
6,213
6,222
6,255
6,362
6,383
6,714
6,900
6,941
7,167
7,196
7,361
7,502
7,518
7,549
7,571
7,665
7,702
7,711
7,776
7,863
7,932
8,108
8,218
8,368
8,541
8,595
8,612
8,614
8,818
8,872
8,909
9,75
9,294
9,448
9,480
9,514
9,545
9,594
9,609
9,689
9,846
9,861
9,906
9,930
10,206
10,473
10,520
10,708
10,772
10,807
10,810
10,819
10,933
10,946
10,960
10,992
11,173
11,230
11,310
11,311
11,347
11,374
11,384
11,569
11,905
11,962
11,970
12,66
12,141
12,638
12,724
12,794
12,843
12,919
12,955
12,993
13,88
13,164
13,226
13,253
13,284
13,342
13,390
13,397
13,463
13,536
13,582
13,618
13,744
13,754
13,941
13,974
14,81
14,116
14,276
14,354
14,385
14,417
14,458
14,661
14,758
14,800
14,830
14,854
14,951
14,959
15,267
15,280
15,341
15,408
15,506
15,545
15,672
15,721
15,792
15,961
15,964
16,75
16,288
16,636
16,775
16,786
16,901
16,918
16,965
17,87
17,115
17,378
17,397
17,400
17,421
17,530
17,531
17,813
17,820
18,103
18,166
18,175
18,263
18,350
18,447
18,579
18,725
18,852
18,872
18,975
19,408
19,496
19,581
19,890
20,58
20,124
20,625
20,773
20,833
20,875
20,897
21,25
21,72
21,228
21,237
21,451
21,503
21,696
21,749
21,816
21,834
21,916
21,940
21,955
21,979
22,89
22,172
22,351
22,595
22,683
22,908
22,992
23,83
23,157
23,178
23,220
23,250
23,275
23,307
23,836
23,844
23,864
24,25
24,100
24,181
24,190
24,359
24,551
24,623
24,807
25,249
25,365
25,471
25,480
25,777
26,149
26,312
26,375
26,500
26,615
26,629
26,697
26,717
26,830
26,932
26,938
26,966
26,987
27,316
27,524
27,549
27,638
27,642
27,715
27,960
27,965
28,53
28,94
28,172
28,278
28,298
28,401
28,680
28,951
29,244
29,277
29,402
29,558
29,587
29,833
29,892
30,339
30,509
30,529
30,686
30,694
30,720
30,756
30,832
30,908
30,953
31,124
31,188
31,469
31,662
31,755
31,902
32,160
32,189
32,210
32,366
32,389
32,531
32,539
32,548
32,553
32,613
32,719
32,740
32,800
32,808
32,889
32,960
32,971
33,189
33,228
33,238
33,444
33,598
33,613
33,697
33,960
34,38
34,255
34,264
34,287
34,311
34,475
34,477
34,565
34,633
34,699
34,772
34,838
34,888
35,43
35,55
35,92
35,130
35,234
35,305
35,341
35,492
35,509
35,583
35,594
35,958
35,970
36,45
36,532
36,617
36,710
36,789
36,792
36,795
36,846
36,879
36,881
36,912
37,50
37,69
37,150
37,175
37,458
37,503
37,515
37,788
37,933
37,973
38,58
38,336
38,438
38,598
38,692
38,723
38,929
39,87
39,267
39,359
39,528
39,601
39,881
39,981
40,58
40,129
40,145
40,193
40,213
40,344
40,381
40,653
40,658
40,748
40,756
41,94
41,108
41,769
41,932
41,939
41,962
41,965
41,992
42,68
42,170
42,309
42,347
42,363
42,417
42,476
42,567
42,752
42,782
42,818
42,829
42,861
42,878
43,115
43,301
43,450
43,633
43,684
43,749
43,753
44,80
44,128
44,131
44,144
44,181
44,273
44,292
44,431
44,476
44,483
44,611
44,680
44,713
44,964
45,50
45,113
45,115
45,343
45,458
45,650
45,674
45,702
45,711
45,818
45,901
46,193
46,223
46,288
46,376
46,741
46,836
46,957
47,216
47,324
47,527
47,576
47,612
47,734
47,762
47,774
47,845
47,881
47,926
48,114
48,150
48,162
48,174
48,209
48,246
48,281
48,297
48,304
48,346
48,348
48,364
48,553
48,627
48,636
48,656
48,721
48,769
48,915
49,122
49,355
49,432
49,555
49,564
49,732
49,759
49,936
49,944
50,266
50,286
50,473
50,762
50,777
50,932
51,74
51,340
51,571
51,654
51,725
51,772
51,839
51,978
52,104
52,260
52,282
52,521
53,186
53,259
53,393
53,554
53,698
53,728
53,730
53,753
53,881
53,916
53,922
53,987
54,292
54,377
54,395
54,441
54,541
54,614
54,755
54,805
54,949
54,970
55,139
55,180
55,566
55,633
55,773
55,945
56,145
56,167
56,328
56,329
56,473
56,619
56,674
56,688
56,719
56,944
57,93
57,621
57,665
57,696
57,755
57,838
57,874
58,125
58,147
58,222
58,382
58,412
58,488
58,559
58,841
59,112
59,387
59,388
59,517
59,570
59,700
60,106
60,168
60,216
60,252
60,442
60,453
60,463
60,568
60,652
60,754
60,829
60,966
61,329
61,443
61,452
61,561
61,565
61,721
61,747
61,805
61,848
61,868
61,947
62,168
62,376
62,394
62,541
62,747
62,771
62,880
62,940
62,945
62,963
63,78
63,106
63,148
63,164
63,182
63,328
63,366
63,423
63,424
63,657
63,804
63,953
64,156
64,310
64,334
64,374
64,454
64,598
64,737
64,789
64,894
65,70
65,92
65,93
65,261
65,264
65,277
65,296
65,379
65,388
65,414
65,509
65,717
65,789
65,915
65,985
66,131
66,190
66,191
66,416
66,444
66,473
66,492
66,544
66,800
66,902
66,962
67,261
67,391
67,798
67,921
68,138
68,304
68,359
68,405
68,440
68,705
68,850
68,891
68,956
68,977
68,991
69,116
69,182
69,246
69,296
69,377
69,448
69,531
69,576
69,605
69,640
69,701
69,826
69,919
70,102
70,118
70,126
70,181
70,307
70,521
70,698
70,796
70,829
70,883
70,991
71,107
71,236
71,294
71,505
71,590
71,595
71,785
71,889
71,978
72,270
72,553
72,600
72,796
72,829
72,843
72,932
73,139
73,292
73,604
73,655
73,741
73,838
73,850
73,944
74,318
74,390
74,454
74,519
74,912
74,918
74,956
74,967
75,131
75,271
75,308
75,360
75,375
75,732
75,837
75,950
76,157
76,175
76,219
76,255
76,284
76,395
76,511
76,638
