voter_id,agent_type,loyalty,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,initial_vote
0,mixed,0.474,Hidalgo,Arthaud,Dupont-Aignan,Jadot,Poutou,Le Pen,Melenchon,Macron,Pecresse,Lassalle,Roussel,Zemmour,Hidalgo
1,strategic,0.0,Macron,Dupont-Aignan,Poutou,Jadot,Arthaud,Roussel,Hidalgo,Melenchon,Pecresse,Zemmour,Le Pen,Lassalle,Macron
2,strategic,0.0,Hidalgo,Jadot,Pecresse,Arthaud,Zemmour,Le Pen,Roussel,Macron,Lassalle,Melenchon,Dupont-Aignan,Poutou,Hidalgo
3,strategic,0.0,Hidalgo,Zemmour,Dupont-Aignan,Roussel,Arthaud,Le Pen,Poutou,Macron,Pecresse,Jadot,Melenchon,Lassalle,Hidalgo
4,stubborn,1.0,Hidalgo,Macron,Zemmour,Dupont-Aignan,Poutou,Pecresse,Jadot,Roussel,Lassalle,Le Pen,Melenchon,Arthaud,Hidalgo
5,strategic,0.0,Hidalgo,Jadot,Lassalle,Zemmour,Melenchon,Arthaud,Macron,Dupont-Aignan,Pecresse,Roussel,Poutou,Le Pen,Hidalgo
6,strategic,0.0,Macron,Zemmour,Hidalgo,Pecresse,Roussel,Arthaud,Melenchon,Le Pen,Lassalle,Dupont-Aignan,Poutou,Jadot,Macron
7,stubborn,1.0,Pecresse,Hidalgo,Jadot,Poutou,Macron,Melenchon,Arthaud,Lassalle,Roussel,Le Pen,Dupont-Aignan,Zemmour,Pecresse
8,strategic,0.0,Arthaud,Macron,Le Pen,Dupont-Aignan,Melenchon,Roussel,Pecresse,Poutou,Zemmour,Lassalle,Hidalgo,Jadot,Arthaud
9,mixed,0.895,Melenchon,Jadot,Poutou,Roussel,Hidalgo,Lassalle,Dupont-Aignan,Le Pen,Zemmour,Pecresse,Arthaud,Macron,Melenchon
10,strategic,0.0,Melenchon,Macron,Jadot,Pecresse,Roussel,Arthaud,Zemmour,Lassalle,Hidalgo,Le Pen,Dupont-Aignan,Poutou,Melenchon
11,strategic,0.0,Jadot,Zemmour,Le Pen,Dupont-Aignan,Melenchon,Macron,Arthaud,Poutou,Roussel,Lassalle,Pecresse,Hidalgo,Jadot
12,stubborn,1.0,Jadot,Lassalle,Roussel,Pecresse,Zemmour,Dupont-Aignan,Arthaud,Poutou,Melenchon,Le Pen,Hidalgo,Macron,Jadot
13,stubborn,1.0,Lassalle,Zemmour,Dupont-Aignan,Macron,Pecresse,Arthaud,Melenchon,Jadot,Le Pen,Hidalgo,Roussel,Poutou,Lassalle
14,strategic,0.0,Hidalgo,Lassalle,Jadot,Macron,Poutou,Pecresse,Le Pen,Dupont-Aignan,Arthaud,Roussel,Zemmour,Melenchon,Hidalgo
15,mixed,0.771,Roussel,Poutou,Arthaud,Melenchon,Dupont-Aignan,Le Pen,Jadot,Macron,Pecresse,Zemmour,Lassalle,Hidalgo,Roussel
16,stubborn,1.0,Poutou,Lassalle,Jadot,Melenchon,Pecresse,Hidalgo,Roussel,Macron,Zemmour,Arthaud,Le Pen,Dupont-Aignan,Poutou
17,strategic,0.0,Pecresse,Hidalgo,Dupont-Aignan,Roussel,Jadot,Zemmour,Le Pen,Lassalle,Macron,Melenchon,Arthaud,Poutou,Pecresse
18,strategic,0.0,Lassalle,Hidalgo,Poutou,Pecresse,Melenchon,Dupont-Aignan,Jadot,Arthaud,Zemmour,Roussel,Macron,Le Pen,Lassalle
19,mixed,0.649,Melenchon,Jadot,Poutou,Lassalle,Pecresse,Dupont-Aignan,Zemmour,Roussel,Hidalgo,Arthaud,Macron,Le Pen,Melenchon
20,strategic,0.0,Roussel,Macron,Pecresse,Dupont-Aignan,Arthaud,Zemmour,Lassalle,Jadot,Melenchon,Hidalgo,Le Pen,Poutou,Roussel
21,strategic,0.0,Arthaud,Melenchon,Macron,Hidalgo,Zemmour,Lassalle,Le Pen,Poutou,Dupont-Aignan,Roussel,Jadot,Pecresse,Arthaud
22,strategic,0.0,Hidalgo,Pecresse,Macron,Lassalle,Jadot,Poutou,Roussel,Le Pen,Dupont-Aignan,Melenchon,Arthaud,Zemmour,Hidalgo
23,strategic,0.0,Melenchon,Lassalle,Arthaud,Jadot,Poutou,Macron,Roussel,Hidalgo,Dupont-Aignan,Zemmour,Pecresse,Le Pen,Melenchon
24,mixed,0.759,Melenchon,Macron,Arthaud,Roussel,Hidalgo,Zemmour,Dupont-Aignan,Le Pen,Poutou,Lassalle,Pecresse,Jadot,Melenchon
25,stubborn,1.0,Roussel,Hidalgo,Macron,Melenchon,Lassalle,Dupont-Aignan,Arthaud,Jadot,Zemmour,Pecresse,Le Pen,Poutou,Roussel
26,strategic,0.0,Arthaud,Lassalle,Zemmour,Hidalgo,Macron,Le Pen,Melenchon,Dupont-Aignan,Poutou,Jadot,Roussel,Pecresse,Arthaud
27,strategic,0.0,Melenchon,Macron,Zemmour,Pecresse,Dupont-Aignan,Le Pen,Hidalgo,Jadot,Poutou,Roussel,Arthaud,Lassalle,Melenchon
28,strategic,0.0,Le Pen,Roussel,Arthaud,Pecresse,Jadot,Lassalle,Poutou,Zemmour,Melenchon,Dupont-Aignan,Hidalgo,Macron,Le Pen
29,strategic,0.0,Macron,Zemmour,Arthaud,Poutou,Melenchon,Roussel,Le Pen,Dupont-Aignan,Jadot,Hidalgo,Lassalle,Pecresse,Macron
30,mixed,0.651,Hidalgo,Dupont-Aignan,Arthaud,Roussel,Macron,Jadot,Zemmour,Le Pen,Lassalle,Poutou,Melenchon,Pecresse,Hidalgo
31,stubborn,1.0,Lassalle,Le Pen,Melenchon,Arthaud,Pecresse,Jadot,Macron,Roussel,Poutou,Dupont-Aignan,Zemmour,Hidalgo,Lassalle
32,strategic,0.0,Roussel,Hidalgo,Poutou,Melenchon,Zemmour,Dupont-Aignan,Jadot,Pecresse,Lassalle,Le Pen,Macron,Arthaud,Roussel
33,strategic,0.0,Dupont-Aignan,Roussel,Arthaud,Melenchon,Jadot,Hidalgo,Macron,Lassalle,Zemmour,Pecresse,Poutou,Le Pen,Dupont-Aignan
