source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,12
0,13
0,14
0,19
0,21
0,25
0,35
0,37
0,39
0,42
0,47
0,63
0,68
0,72
0,76
0,87
0,103
0,111
0,116
0,117
0,119
0,125
0,145
0,158
0,163
0,176
0,180
0,184
0,191
0,206
0,220
0,224
0,225
0,240
0,280
0,281
0,289
0,297
0,299
0,303
0,310
0,329
0,353
0,371
0,383
0,409
0,410
0,415
0,420
0,441
0,456
0,457
0,462
0,493
0,535
0,538
0,557
0,559
0,593
0,594
0,619
0,636
0,637
0,642
0,653
0,715
0,719
0,726
0,795
0,800
0,809
0,814
0,829
0,835
0,861
0,866
0,870
0,882
0,885
0,910
0,926
0,980
0,990
1,10
1,16
1,23
1,29
1,51
1,54
1,112
1,145
1,191
1,208
1,269
1,320
1,374
1,448
1,527
1,646
1,673
1,683
1,783
1,921
1,934
2,6
2,7
2,8
2,9
2,12
2,13
2,14
2,17
2,18
2,22
2,24
2,44
2,46
2,51
2,53
2,61
2,65
2,75
2,77
2,78
2,81
2,84
2,88
2,89
2,99
2,104
2,108
2,109
2,110
2,143
2,159
2,165
2,175
2,180
2,182
2,187
2,197
2,202
2,213
2,233
2,234
2,245
2,266
2,275
2,297
2,314
2,317
2,352
2,365
2,372
2,384
2,407
2,411
2,430
2,438
2,460
2,464
2,467
2,476
2,545
2,549
2,552
2,553
2,576
2,578
2,579
2,590
2,600
2,639
2,668
2,669
2,679
2,704
2,740
2,756
2,825
2,946
2,953
2,958
2,972
3,6
3,10
3,11
3,15
3,16
3,22
3,37
3,45
3,49
3,59
3,97
3,100
3,113
3,136
3,148
3,174
3,199
3,238
3,257
3,303
3,327
3,334
3,338
3,376
3,383
3,390
3,429
3,460
3,464
3,473
3,493
3,543
3,548
3,571
3,590
3,608
3,624
3,632
3,660
3,670
3,674
3,680
3,704
3,724
3,787
3,826
3,863
3,889
3,891
3,909
3,913
3,970
3,995
4,6
4,7
4,8
4,11
4,15
4,18
4,20
4,26
4,27
4,39
4,41
4,45
4,50
4,53
4,54
4,56
4,57
4,59
4,65
4,83
4,93
4,94
4,95
4,111
4,116
4,121
4,122
4,127
4,133
4,152
4,166
4,192
4,194
4,214
4,219
4,229
4,242
4,280
4,293
4,294
4,343
4,346
4,350
4,355
4,389
4,417
4,418
4,433
4,449
4,492
4,537
4,551
4,588
4,600
4,660
4,676
4,712
4,726
4,727
4,732
4,745
4,772
4,779
4,790
4,845
4,884
4,896
4,922
4,939
4,948
4,966
4,980
4,990
5,6
5,7
5,18
5,21
5,35
5,40
5,46
5,50
5,122
5,156
5,159
5,171
5,198
5,257
5,305
5,396
5,423
5,671
5,702
5,703
5,808
5,811
5,834
5,965
6,7
6,8
6,9
6,11
6,12
6,13
6,14
6,16
6,17
6,20
6,22
6,24
6,25
6,28
6,30
6,33
6,34
6,36
6,41
6,43
6,47
6,48
6,57
6,59
6,64
6,74
6,79
6,106
6,108
6,113
6,114
6,120
6,124
6,129
6,130
6,131
6,136
6,147
6,161
6,162
6,167
6,168
6,169
6,173
6,188
6,196
6,206
6,212
6,222
6,232
6,236
6,239
6,256
6,260
6,273
6,280
6,282
6,300
6,307
6,318
6,327
6,330
6,336
6,348
6,393
6,399
6,458
6,481
6,492
6,504
6,524
6,527
6,534
6,593
6,596
6,619
6,621
6,650
6,659
6,676
6,693
6,695
6,711
6,748
6,750
6,754
6,760
6,792
6,801
6,803
6,806
6,826
6,839
6,847
6,878
6,883
6,890
6,915
6,916
6,942
6,943
6,950
6,965
6,974
6,979
6,987
7,8
7,9
7,10
7,12
7,15
7,17
7,18
7,20
7,22
7,23
7,26
7,27
7,28
7,30
7,32
7,33
7,35
7,36
7,53
7,55
7,59
7,62
7,63
7,67
7,95
7,96
7,105
7,108
7,112
7,116
7,118
7,124
7,126
7,129
7,132
7,138
7,143
7,144
7,145
7,162
7,167
7,172
7,174
7,178
7,190
7,192
7,217
7,224
7,229
7,231
7,244
7,245
7,251
7,253
7,261
7,262
7,265
7,271
7,277
7,283
7,285
7,286
7,290
7,297
7,301
7,318
7,324
7,325
7,327
7,340
7,344
7,369
7,380
7,388
7,395
7,399
7,401
7,409
7,419
7,422
7,433
7,440
7,468
7,474
7,477
7,480
7,495
7,504
7,528
7,540
7,541
7,547
7,550
7,562
7,584
7,593
7,598
7,613
7,614
7,620
7,624
7,637
7,643
7,686
7,704
7,720
7,724
7,742
7,747
7,759
7,763
7,806
7,807
7,823
7,825
7,828
7,831
7,848
7,852
7,872
7,894
7,898
7,940
7,942
7,957
7,978
7,987
7,998
8,9
8,10
8,12
8,14
8,15
8,23
8,24
8,25
8,28
8,32
8,34
8,48
8,52
8,58
8,63
8,69
8,89
8,104
8,107
8,112
8,113
8,115
8,140
8,150
8,168
8,169
8,171
8,174
8,194
8,199
8,205
8,219
8,228
8,230
8,231
8,239
8,262
8,265
8,280
8,289
8,310
8,313
8,315
8,328
8,401
8,403
8,434
8,456
8,464
8,470
8,475
8,493
8,495
8,498
8,546
8,552
8,586
8,594
8,599
8,640
8,649
8,650
8,654
8,659
8,661
8,678
8,703
8,707
8,735
8,816
8,844
8,882
8,886
8,954
8,955
8,963
8,977
9,10
9,11
9,15
9,17
9,19
9,33
9,43
9,44
9,104
9,127
9,138
9,140
9,147
9,149
9,152
9,158
9,160
9,166
9,170
9,263
9,335
9,384
9,394
9,442
9,598
9,638
9,873
9,903
9,940
9,979
10,11
10,13
10,14
10,21
10,22
10,24
10,26
10,42
10,43
10,45
10,50
10,60
10,81
10,90
10,112
10,118
10,127
10,134
10,202
10,204
10,217
10,233
10,237
10,248
10,254
10,288
10,309
10,312
10,337
10,388
10,392
10,478
10,482
10,550
10,667
10,669
10,694
10,735
10,754
10,769
10,852
10,920
10,951
10,980
11,19
11,20
11,29
11,31
11,45
11,46
11,57
11,62
11,66
11,67
11,79
11,80
11,86
11,128
11,133
11,153
11,154
11,163
11,183
11,185
11,189
11,194
11,206
11,245
11,254
11,256
11,270
11,306
11,324
11,326
11,332
11,338
11,343
11,355
11,373
11,381
11,426
11,480
11,491
11,518
11,601
11,625
11,633
11,643
11,694
11,714
11,731
11,737
11,783
11,790
11,793
11,813
11,819
11,834
11,858
11,897
11,907
11,951
11,975
11,981
11,985
12,13
12,16
12,18
12,29
12,41
12,49
12,56
12,105
12,111
12,135
12,142
12,188
12,215
12,268
12,331
12,332
12,381
12,406
12,428
12,440
12,531
12,618
12,626
12,718
12,755
12,886
12,891
12,912
12,930
12,958
12,982
13,30
13,31
13,37
13,41
13,48
13,51
13,52
13,63
13,68
13,83
13,99
13,126
13,132
13,148
13,160
13,172
13,187
13,195
13,197
13,242
13,253
13,260
13,268
13,277
13,290
13,307
13,368
13,397
13,439
13,463
13,499
13,672
13,681
13,682
13,747
13,834
13,855
13,860
13,876
13,891
13,935
13,941
14,17
14,19
14,27
14,29
14,36
14,40
14,52
14,54
14,55
14,58
14,60
14,62
14,72
