voter_id,agent_type,loyalty,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,initial_vote
0,strategic,0.0,Macron,Pecresse,Roussel,Jadot,Poutou,Dupont-Aignan,Hidalgo,Le Pen,Lassalle,Melenchon,Zemmour,Arthaud,Macron
1,stubborn,1.0,Melenchon,Arthaud,Jadot,Lassalle,Le Pen,Pecresse,Roussel,Hidalgo,Dupont-Aignan,Zemmour,Poutou,Macron,Melenchon
2,strategic,0.0,Dupont-Aignan,Melenchon,Hidalgo,Roussel,Jadot,Macron,Le Pen,Pecresse,Lassalle,Poutou,Zemmour,Arthaud,Dupont-Aignan
3,strategic,0.0,Roussel,Jadot,Hidalgo,Poutou,Lassalle,Melenchon,Zemmour,Le Pen,Macron,Pecresse,Dupont-Aignan,Arthaud,Roussel
4,stubborn,1.0,Zemmour,Macron,Jadot,Dupont-Aignan,Pecresse,Melenchon,Poutou,Hidalgo,Roussel,Lassalle,Arthaud,Le Pen,Zemmour
5,strategic,0.0,Roussel,Jadot,Hidalgo,Poutou,Le Pen,Zemmour,Pecresse,Lassalle,Macron,Melenchon,Dupont-Aignan,Arthaud,Roussel
6,strategic,0.0,Le Pen,Macron,Arthaud,Jadot,Zemmour,Poutou,Pecresse,Hidalgo,Lassalle,Dupont-Aignan,Melenchon,Roussel,Le Pen
7,strategic,0.0,Pecresse,Jadot,Roussel,Poutou,Macron,Zemmour,Le Pen,Dupont-Aignan,Lassalle,Hidalgo,Melenchon,Arthaud,Pecresse
8,mixed,0.511,Dupont-Aignan,Poutou,Le Pen,Arthaud,Pecresse,Roussel,Zemmour,Jadot,Hidalgo,Melenchon,Macron,Lassalle,Dupont-Aignan
9,strategic,0.0,Dupont-Aignan,Hidalgo,Zemmour,Roussel,Poutou,Pecresse,Lassalle,Macron,Melenchon,Arthaud,Jadot,Le Pen,Dupont-Aignan
10,mixed,0.763,Pecresse,Hidalgo,Jadot,Poutou,Zemmour,Roussel,Le Pen,Dupont-Aignan,Arthaud,Lassalle,Melenchon,Macron,Pecresse
11,strategic,0.0,Jadot,Pecresse,Zemmour,Lassalle,Dupont-Aignan,Melenchon,Poutou,Hidalgo,Macron,Roussel,Arthaud,Le Pen,Jadot
12,strategic,0.0,Macron,Le Pen,Hidalgo,Jadot,Roussel,Pecresse,Arthaud,Melenchon,Poutou,Dupont-Aignan,Zemmour,Lassalle,Macron
13,mixed,0.645,Zemmour,Jadot,Roussel,Poutou,Melenchon,Le Pen,Pecresse,Macron,Arthaud,Lassalle,Dupont-Aignan,Hidalgo,Zemmour
14,strategic,0.0,Dupont-Aignan,Zemmour,Le Pen,Lassalle,Arthaud,Poutou,Jadot,Roussel,Hidalgo,Melenchon,Pecresse,Macron,Dupont-Aignan
15,strategic,0.0,Lassalle,Hidalgo,Poutou,Macron,Melenchon,Zemmour,Arthaud,Roussel,Dupont-Aignan,Pecresse,Le Pen,Jadot,Lassalle
16,stubborn,1.0,Arthaud,Lassalle,Pecresse,Dupont-Aignan,Le Pen,Zemmour,Melenchon,Poutou,Hidalgo,Roussel,Jadot,Macron,Arthaud
17,strategic,0.0,Pecresse,Macron,Hidalgo,Melenchon,Zemmour,Le Pen,Poutou,Dupont-Aignan,Roussel,Lassalle,Jadot,Arthaud,Pecresse
18,strategic,0.0,Zemmour,Jadot,Poutou,Melenchon,Hidalgo,Arthaud,Dupont-Aignan,Lassalle,Macron,Le Pen,Roussel,Pecresse,Zemmour
19,strategic,0.0,Arthaud,Zemmour,Macron,Pecresse,Jadot,Le Pen,Dupont-Aignan,Melenchon,Lassalle,Hidalgo,Roussel,Poutou,Arthaud
20,strategic,0.0,Hidalgo,Jadot,Melenchon,Pecresse,Poutou,Lassalle,Zemmour,Le Pen,Macron,Arthaud,Dupont-Aignan,Roussel,Hidalgo
21,strategic,0.0,Jadot,Dupont-Aignan,Pecresse,Melenchon,Hidalgo,Roussel,Poutou,Zemmour,Le Pen,Macron,Lassalle,Arthaud,Jadot
22,strategic,0.0,Arthaud,Le Pen,Hidalgo,Melenchon,Jadot,Roussel,Lassalle,Poutou,Dupont-Aignan,Zemmour,Macron,Pecresse,Arthaud
23,mixed,0.848,Arthaud,Zemmour,Hidalgo,Jadot,Dupont-Aignan,Poutou,Le Pen,Melenchon,Roussel,Lassalle,Pecresse,Macron,Arthaud
24,mixed,0.848,Zemmour,Pecresse,Jadot,Macron,Arthaud,Roussel,Melenchon,Poutou,Dupont-Aignan,Lassalle,Hidalgo,Le Pen,Zemmour
25,strategic,0.0,Poutou,Roussel,Zemmour,Jadot,Dupont-Aignan,Hidalgo,Macron,Pecresse,Arthaud,Lassalle,Le Pen,Melenchon,Poutou
26,strategic,0.0,Le Pen,Poutou,Roussel,Melenchon,Dupont-Aignan,Jadot,Pecresse,Zemmour,Hidalgo,Macron,Arthaud,Lassalle,Le Pen
27,strategic,0.0,Poutou,Le Pen,Melenchon,Pecresse,Dupont-Aignan,Zemmour,Macron,Roussel,Jadot,Arthaud,Lassalle,Hidalgo,Poutou
28,stubborn,1.0,Macron,Poutou,Hidalgo,Lassalle,Dupont-Aignan,Arthaud,Melenchon,Roussel,Pecresse,Jadot,Le Pen,Zemmour,Macron
29,stubborn,1.0,Dupont-Aignan,Macron,Arthaud,Melenchon,Pecresse,Jadot,Poutou,Le Pen,Hidalgo,Zemmour,Roussel,Lassalle,Dupont-Aignan
30,strategic,0.0,Arthaud,Roussel,Dupont-Aignan,Zemmour,Poutou,Hidalgo,Melenchon,Le Pen,Macron,Pecresse,Lassalle,Jadot,Arthaud
31,strategic,0.0,Roussel,Le Pen,Dupont-Aignan,Hidalgo,Lassalle,Macron,Arthaud,Jadot,Melenchon,Zemmour,Pecresse,Poutou,Roussel
32,strategic,0.0,Poutou,Hidalgo,Pecresse,Lassalle,Macron,Roussel,Melenchon,Dupont-Aignan,Zemmour,Arthaud,Jadot,Le Pen,Poutou
33,stubborn,1.0,Jadot,Poutou,Pecresse,Le Pen,Arthaud,Lassalle,Dupont-Aignan,Hidalgo,Melenchon,Macron,Zemmour,Roussel,Jadot
34,strategic,0.0,Melenchon,Le Pen,Roussel,Dupont-Aignan,Arthaud,Poutou,Jadot,Macron,Lassalle,Zemmour,Pecresse,Hidalgo,Melenchon
35,strategic,0.0,Dupont-Aignan,Poutou,Macron,Zemmour,Roussel,Hidalgo,Jadot,Arthaud,Pecresse,Lassalle,Le Pen,Melenchon,Dupont-Aignan
36,strategic,0.0,Jadot,Zemmour,Lassalle,Le Pen,Arthaud,Dupont-Aignan,Macron,Poutou,Roussel,Melenchon,Hidalgo,Pecresse,Jadot
37,strategic,0.0,Lassalle,Dupont-Aignan,Roussel,Hidalgo,Melenchon,Poutou,Macron,Jadot,Zemmour,Le Pen,Pecresse,Arthaud,Lassalle
38,strategic,0.0,Le Pen,Jadot,Lassalle,Macron,Zemmour,Hidalgo,Melenchon,Dupont-Aignan,Poutou,Pecresse,Arthaud,Roussel,Le Pen
39,strategic,0.0,Pecresse,Melenchon,Le Pen,Dupont-Aignan,Macron,Zemmour,Lassalle,Poutou,Hidalgo,Arthaud,Jadot,Roussel,Pecresse
40,strategic,0.0,Jadot,Roussel,Dupont-Aignan,Macron,Arthaud,Poutou,Melenchon,Pecresse,Lassalle,Zemmour,Le Pen,Hidalgo,Jadot
41,strategic,0.0,Le Pen,Dupont-Aignan,Pecresse,Macron,Arthaud,Roussel,Zemmour,Hidalgo,Jadot,Poutou,Melenchon,Lassalle,Le Pen
42,strategic,0.0,Dupont-Aignan,Lassalle,Poutou,Hidalgo,Jadot,Pecresse,Roussel,Zemmour,Le Pen,Melenchon,Macron,Arthaud,Dupont-Aignan
43,stubborn,1.0,Jadot,Melenchon,Arthaud,Poutou,Zemmour,Dupont-Aignan,Le Pen,Hidalgo,Roussel,Lassalle,Macron,Pecresse,Jadot
44,stubborn,1.0,Lassalle,Melenchon,Arthaud,Roussel,Jadot,Poutou,Dupont-Aignan,Le Pen,Macron,Hidalgo,Zemmour,Pecresse,Lassalle
45,stubborn,1.0,Hidalgo,Pecresse,Melenchon,Lassalle,Macron,Roussel,Poutou,Arthaud,Dupont-Aignan,Le Pen,Zemmour,Jadot,Hidalgo
46,stubborn,1.0,Dupont-Aignan,Lassalle,Roussel,Melenchon,Arthaud,Le Pen,Poutou,Macron,Pecresse,Hidalgo,Jadot,Zemmour,Dupont-Aignan
47,strategic,0.0,Le Pen,Roussel,Lassalle,Arthaud,Poutou,Melenchon,Pecresse,Dupont-Aignan,Zemmour,Jadot,Hidalgo,Macron,Le Pen
48,stubborn,1.0,Macron,Jadot,Arthaud,Melenchon,Hidalgo,Zemmour,Le Pen,Roussel,Lassalle,Pecresse,Dupont-Aignan,Poutou,Macron
49,strategic,0.0,Dupont-Aignan,Poutou,Lassalle,Melenchon,Zemmour,Jadot,Le Pen,Hidalgo,Roussel,Pecresse,Macron,Arthaud,Dupont-Aignan
50,strategic,0.0,Arthaud,Roussel,Macron,Jadot,Lassalle,Dupont-Aignan,Le Pen,Melenchon,Poutou,Hidalgo,Pecresse,Zemmour,Arthaud
51,strategic,0.0,Zemmour,Pecresse,Poutou,Roussel,Jadot,Lassalle,Dupont-Aignan,Hidalgo,Arthaud,Macron,Melenchon,Le Pen,Zemmour
52,strategic,0.0,Zemmour,Hidalgo,Dupont-Aignan,Pecresse,Melenchon,Jadot,Le Pen,Roussel,Macron,Poutou,Lassalle,Arthaud,Zemmour
53,mixed,0.734,Jadot,Le Pen,Melenchon,Dupont-Aignan,Zemmour,Arthaud,Lassalle,Hidalgo,Roussel,Pecresse,Macron,Poutou,Jadot
