voter_id,agent_type,loyalty,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,initial_vote
0,stubborn,1.0,Jadot,Le Pen,Macron,Arthaud,Pecresse,Melenchon,Roussel,Dupont-Aignan,Lassalle,Hidalgo,Poutou,Zemmour,Jadot
1,stubborn,1.0,Zemmour,Roussel,Arthaud,Pecresse,Dupont-Aignan,Poutou,Le Pen,Melenchon,Lassalle,Hidalgo,Macron,Jadot,Zemmour
2,stubborn,1.0,Zemmour,Arthaud,Le Pen,Pecresse,Hidalgo,Roussel,Macron,Lassalle,Dupont-Aignan,Poutou,Jadot,Melenchon,Zemmour
3,stubborn,1.0,Roussel,Jadot,Poutou,Le Pen,Macron,Melenchon,Hidalgo,Lassalle,Dupont-Aignan,Arthaud,Pecresse,Zemmour,Roussel
4,strategic,0.0,Hidalgo,Melenchon,Arthaud,Dupont-Aignan,Jadot,Pecresse,Macron,Le Pen,Roussel,Lassalle,Zemmour,Poutou,Hidalgo
5,stubborn,1.0,Poutou,Hidalgo,Macron,Roussel,Melenchon,Dupont-Aignan,Pecresse,Le Pen,Jadot,Lassalle,Zemmour,Arthaud,Poutou
6,strategic,0.0,Melenchon,Pecresse,Lassalle,Dupont-Aignan,Le Pen,Hidalgo,Roussel,Macron,Zemmour,Poutou,Arthaud,Jadot,Melenchon
7,stubborn,1.0,Dupont-Aignan,Zemmour,Poutou,Melenchon,Le Pen,Jadot,Roussel,Pecresse,Arthaud,Hidalgo,Lassalle,Macron,Dupont-Aignan
8,stubborn,1.0,Roussel,Melenchon,Zemmour,Arthaud,Macron,Poutou,Pecresse,Lassalle,Hidalgo,Jadot,Dupont-Aignan,Le Pen,Roussel
9,stubborn,1.0,Lassalle,Dupont-Aignan,Macron,Le Pen,Roussel,Melenchon,Pecresse,Poutou,Jadot,Arthaud,Hidalgo,Zemmour,Lassalle
10,stubborn,1.0,Jadot,Lassalle,Hidalgo,Arthaud,Melenchon,Pecresse,Dupont-Aignan,Le Pen,Zemmour,Poutou,Roussel,Macron,Jadot
11,stubborn,1.0,Arthaud,Zemmour,Poutou,Macron,Dupont-Aignan,Roussel,Pecresse,Melenchon,Le Pen,Hidalgo,Lassalle,Jadot,Arthaud
12,stubborn,1.0,Hidalgo,Jadot,Pecresse,Dupont-Aignan,Le Pen,Lassalle,Melenchon,Macron,Roussel,Arthaud,Zemmour,Poutou,Hidalgo
13,stubborn,1.0,Arthaud,Jadot,Dupont-Aignan,Hidalgo,Lassalle,Melenchon,Poutou,Pecresse,Macron,Roussel,Zemmour,Le Pen,Arthaud
14,stubborn,1.0,Roussel,Macron,Dupont-Aignan,Lassalle,Le Pen,Zemmour,Pecresse,Hidalgo,Jadot,Poutou,Melenchon,Arthaud,Roussel
15,stubborn,1.0,Poutou,Hidalgo,Lassalle,Jadot,Roussel,Le Pen,Arthaud,Zemmour,Dupont-Aignan,Macron,Melenchon,Pecresse,Poutou
16,stubborn,1.0,Le Pen,Pecresse,Melenchon,Lassalle,Dupont-Aignan,Arthaud,Zemmour,Poutou,Macron,Roussel,Hidalgo,Jadot,Le Pen
17,stubborn,1.0,Melenchon,Zemmour,Arthaud,Macron,Jadot,Poutou,Roussel,Pecresse,Dupont-Aignan,Lassalle,Le Pen,Hidalgo,Melenchon
18,stubborn,1.0,Dupont-Aignan,Lassalle,Melenchon,Poutou,Roussel,Hidalgo,Pecresse,Zemmour,Macron,Arthaud,Jadot,Le Pen,Dupont-Aignan
19,stubborn,1.0,Hidalgo,Le Pen,Arthaud,Lassalle,Macron,Dupont-Aignan,Zemmour,Poutou,Melenchon,Roussel,Pecresse,Jadot,Hidalgo
20,strategic,0.0,Macron,Dupont-Aignan,Zemmour,Hidalgo,Arthaud,Roussel,Pecresse,Melenchon,Jadot,Le Pen,Lassalle,Poutou,Macron
21,mixed,0.712,Jadot,Poutou,Dupont-Aignan,Melenchon,Pecresse,Hidalgo,Zemmour,Lassalle,Le Pen,Macron,Roussel,Arthaud,Jadot
22,stubborn,1.0,Lassalle,Melenchon,Hidalgo,Zemmour,Macron,Pecresse,Roussel,Le Pen,Jadot,Poutou,Arthaud,Dupont-Aignan,Lassalle
23,stubborn,1.0,Roussel,Zemmour,Jadot,Arthaud,Macron,Melenchon,Pecresse,Poutou,Lassalle,Le Pen,Dupont-Aignan,Hidalgo,Roussel
24,stubborn,1.0,Zemmour,Pecresse,Macron,Poutou,Melenchon,Jadot,Lassalle,Le Pen,Dupont-Aignan,Hidalgo,Roussel,Arthaud,Zemmour
25,stubborn,1.0,Poutou,Arthaud,Roussel,Le Pen,Lassalle,Jadot,Hidalgo,Dupont-Aignan,Pecresse,Zemmour,Macron,Melenchon,Poutou
26,stubborn,1.0,Poutou,Jadot,Pecresse,Zemmour,Arthaud,Lassalle,Macron,Roussel,Hidalgo,Dupont-Aignan,Le Pen,Melenchon,Poutou
27,stubborn,1.0,Roussel,Hidalgo,Macron,Dupont-Aignan,Zemmour,Le Pen,Arthaud,Lassalle,Jadot,Pecresse,Melenchon,Poutou,Roussel
28,strategic,0.0,Melenchon,Dupont-Aignan,Hidalgo,Jadot,Le Pen,Zemmour,Macron,Roussel,Pecresse,Arthaud,Lassalle,Poutou,Melenchon
29,strategic,0.0,Poutou,Roussel,Zemmour,Jadot,Le Pen,Lassalle,Macron,Pecresse,Hidalgo,Arthaud,Melenchon,Dupont-Aignan,Poutou
30,stubborn,1.0,Dupont-Aignan,Jadot,Poutou,Lassalle,Pecresse,Melenchon,Roussel,Le Pen,Zemmour,Macron,Hidalgo,Arthaud,Dupont-Aignan
31,mixed,0.53,Melenchon,Macron,Le Pen,Jadot,Hidalgo,Pecresse,Arthaud,Poutou,Roussel,Dupont-Aignan,Lassalle,Zemmour,Melenchon
