source,target
0,22
0,39
0,201
0,253
0,267
0,426
0,567
0,705
0,716
0,718
0,776
0,938
1,306
1,346
1,480
1,526
1,580
1,678
1,703
1,709
1,941
2,71
2,184
2,274
2,427
2,543
2,591
2,623
2,735
2,746
2,770
2,829
2,880
2,907
2,910
2,921
2,995
3,47
3,242
3,330
3,826
4,58
4,460
4,697
4,727
4,746
4,750
4,791
4,900
4,937
4,967
5,395
5,417
5,489
5,739
5,794
5,821
5,837
5,843
6,50
6,53
6,90
6,329
6,355
6,540
6,668
6,699
6,706
6,933
6,954
7,155
7,199
7,336
7,401
7,448
7,654
7,660
7,715
7,760
7,974
8,66
8,88
8,179
8,267
8,458
8,478
8,953
9,18
9,27
9,452
9,555
9,641
9,642
9,707
10,45
10,138
10,154
10,156
10,192
10,290
10,377
10,414
10,500
10,727
10,971
11,67
11,79
11,471
11,716
11,804
11,851
12,42
12,70
12,219
12,304
12,341
12,410
12,519
12,581
12,753
12,815
13,256
13,273
13,429
13,490
13,552
13,603
13,629
13,928
13,991
14,327
14,428
14,433
14,612
14,623
14,659
14,790
14,963
14,977
15,55
15,82
15,304
15,436
15,490
15,495
15,516
15,602
15,634
15,744
15,908
16,242
16,277
16,423
16,652
16,772
16,783
16,927
17,203
17,218
17,323
17,381
17,493
17,542
17,602
17,683
17,705
17,795
17,802
17,971
18,130
18,168
18,207
18,236
18,248
18,323
18,357
18,713
18,719
18,737
18,841
18,859
18,878
18,934
18,990
18,999
19,213
19,263
19,307
19,408
19,420
19,452
19,507
19,560
19,585
19,729
19,789
19,839
19,997
20,83
20,178
20,253
20,356
20,495
20,650
20,823
20,949
21,51
21,292
21,573
21,697
21,753
21,953
22,49
22,378
22,542
22,644
22,702
22,734
23,165
23,355
23,448
23,517
23,546
23,833
23,907
23,931
24,364
24,367
24,399
24,622
25,162
25,165
25,187
25,280
25,346
25,421
25,755
25,853
26,39
26,72
26,91
26,303
26,460
26,465
26,475
26,507
26,512
26,647
26,777
26,809
26,813
26,827
27,62
27,109
27,283
27,339
27,382
27,531
27,537
27,562
27,875
28,112
28,255
28,298
28,299
28,451
28,567
28,688
28,740
28,752
29,129
29,323
29,331
29,344
29,348
29,404
29,406
29,417
29,441
29,543
29,573
29,589
29,715
29,824
29,966
30,313
30,461
30,518
30,806
30,833
30,855
30,944
31,77
31,88
31,135
31,160
31,180
31,295
31,300
31,328
31,446
31,527
31,716
31,870
31,881
31,893
32,358
32,499
32,567
32,584
32,613
33,41
33,237
33,292
33,312
33,621
33,666
33,746
33,749
33,962
34,101
34,124
34,266
34,319
34,421
34,428
34,471
34,545
34,638
34,666
34,771
34,909
34,915
34,975
35,184
35,270
35,307
35,399
35,451
35,579
35,616
35,734
35,798
35,895
35,918
36,207
36,253
36,255
36,345
36,408
36,460
36,535
36,541
36,579
36,589
36,660
36,710
36,737
36,904
37,97
37,208
37,213
37,454
37,517
37,545
37,612
37,715
37,784
38,106
38,205
38,407
38,411
38,539
38,547
38,577
38,658
38,711
38,750
38,863
38,959
38,987
39,138
39,142
39,197
39,236
39,395
39,553
39,586
39,656
39,967
40,51
40,90
40,195
40,344
40,545
40,552
40,557
40,819
40,852
40,944
41,440
41,507
41,786
41,809
41,869
41,900
41,911
41,984
42,652
42,701
42,760
42,805
42,904
43,113
43,145
43,149
43,624
43,683
43,877
43,937
44,249
44,261
44,374
44,387
44,601
44,627
44,876
44,877
45,223
45,318
45,321
45,346
45,395
45,649
45,658
45,715
45,754
45,834
45,887
46,73
46,80
46,246
46,306
46,457
46,503
46,520
46,769
46,790
46,905
46,958
47,189
47,222
47,224
47,459
47,502
47,585
47,650
47,820
47,851
48,51
48,88
48,482
48,501
48,877
49,99
49,183
49,653
49,681
49,720
50,72
50,155
50,287
50,442
50,547
50,772
50,793
50,947
51,171
51,183
51,204
51,350
51,361
51,367
51,455
51,468
51,556
51,561
51,717
51,892
51,996
52,128
52,255
52,369
52,434
52,593
52,715
52,809
53,282
53,389
53,468
53,604
53,628
53,804
53,826
53,883
54,66
54,233
54,274
54,291
54,393
54,730
54,859
55,58
55,198
55,216
55,239
55,310
55,356
55,607
55,612
55,756
55,968
55,988
55,991
55,995
56,58
56,152
56,308
56,661
56,667
56,676
56,978
56,995
57,482
57,488
57,553
57,954
58,338
58,518
58,544
58,554
58,583
58,685
58,867
58,878
58,910
58,924
59,139
59,197
59,231
59,235
59,294
59,321
59,500
59,507
59,520
59,594
59,612
59,797
59,801
59,899
60,231
60,319
60,348
60,377
60,463
60,483
