scenario_id,repetition_id,run_folder,num_agents,network_type,preference_model,prop_stubborn,prop_strategic,prop_mixed,avg_degree,seed
D1,1,IC_BA_D1_N1000_run_001,1000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,2,IC_BA_D1_N1000_run_002,1000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,3,IC_BA_D1_N1000_run_003,1000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,4,IC_BA_D1_N1000_run_004,1000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,5,IC_BA_D1_N1000_run_005,1000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,6,IC_BA_D1_N1000_run_006,1000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,7,IC_BA_D1_N1000_run_007,1000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,8,IC_BA_D1_N1000_run_008,1000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,9,IC_BA_D1_N1000_run_009,1000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,10,IC_BA_D1_N1000_run_010,1000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,1,IC_BA_D1_N3000_run_001,3000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D1,1,IC_BA_D1_N5000_run_001,5000,barabasi_albert,IC,0.6,0.2,0.2,10,42
D2,1,IC_BA_D2_N1000_run_001,1000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,2,IC_BA_D2_N1000_run_002,1000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,3,IC_BA_D2_N1000_run_003,1000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,4,IC_BA_D2_N1000_run_004,1000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,5,IC_BA_D2_N1000_run_005,1000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,6,IC_BA_D2_N1000_run_006,1000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,7,IC_BA_D2_N1000_run_007,1000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,8,IC_BA_D2_N1000_run_008,1000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,9,IC_BA_D2_N1000_run_009,1000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,10,IC_BA_D2_N1000_run_010,1000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,1,IC_BA_D2_N3000_run_001,3000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D2,1,IC_BA_D2_N5000_run_001,5000,barabasi_albert,IC,0.4,0.3,0.3,10,42
D3,1,IC_BA_D3_N1000_run_001,1000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,2,IC_BA_D3_N1000_run_002,1000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,3,IC_BA_D3_N1000_run_003,1000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,4,IC_BA_D3_N1000_run_004,1000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,5,IC_BA_D3_N1000_run_005,1000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,6,IC_BA_D3_N1000_run_006,1000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,7,IC_BA_D3_N1000_run_007,1000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,8,IC_BA_D3_N1000_run_008,1000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,9,IC_BA_D3_N1000_run_009,1000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,10,IC_BA_D3_N1000_run_010,1000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,1,IC_BA_D3_N3000_run_001,3000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D3,1,IC_BA_D3_N5000_run_001,5000,barabasi_albert,IC,0.3,0.4,0.3,10,42
D4,1,IC_BA_D4_N1000_run_001,1000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,2,IC_BA_D4_N1000_run_002,1000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,3,IC_BA_D4_N1000_run_003,1000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,4,IC_BA_D4_N1000_run_004,1000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,5,IC_BA_D4_N1000_run_005,1000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,6,IC_BA_D4_N1000_run_006,1000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,7,IC_BA_D4_N1000_run_007,1000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,8,IC_BA_D4_N1000_run_008,1000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,9,IC_BA_D4_N1000_run_009,1000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,10,IC_BA_D4_N1000_run_010,1000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,1,IC_BA_D4_N3000_run_001,3000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D4,1,IC_BA_D4_N5000_run_001,5000,barabasi_albert,IC,0.2,0.6,0.2,10,42
D5,1,IC_BA_D5_N1000_run_001,1000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,2,IC_BA_D5_N1000_run_002,1000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,3,IC_BA_D5_N1000_run_003,1000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,4,IC_BA_D5_N1000_run_004,1000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,5,IC_BA_D5_N1000_run_005,1000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,6,IC_BA_D5_N1000_run_006,1000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,7,IC_BA_D5_N1000_run_007,1000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,8,IC_BA_D5_N1000_run_008,1000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,9,IC_BA_D5_N1000_run_009,1000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,10,IC_BA_D5_N1000_run_010,1000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,1,IC_BA_D5_N3000_run_001,3000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D5,1,IC_BA_D5_N5000_run_001,5000,barabasi_albert,IC,0.2,0.3,0.5,10,42
D1,1,IC_ER_D1_N1000_run_001,1000,erdos_renyi,IC,0.6,0.2,0.2,10,42
D1,2,IC_ER_D1_N1000_run_002,1000,erdos_renyi,IC,0.6,0.2,0.2,10,42
D1,3,IC_ER_D1_N1000_run_003,1000,erdos_renyi,IC,0.6,0.2,0.2,10,42
