scenario_id,repetition_id,day,num_agents,network_type,preference_model,prop_stubborn,prop_strategic,prop_mixed,variance_scores,social_welfare,num_changes
D1,3,0,1000,erdos_renyi,IC,0.6,0.2,0.2,149.38888888888889,4.179,0
D1,3,1,1000,erdos_renyi,IC,0.6,0.2,0.2,243.88888888888883,4.261,177
D1,3,2,1000,erdos_renyi,IC,0.6,0.2,0.2,321.7222222222222,4.354,101
D1,3,3,1000,erdos_renyi,IC,0.6,0.2,0.2,298.7222222222222,4.354,74
D1,3,4,1000,erdos_renyi,IC,0.6,0.2,0.2,363.7222222222222,4.354,63
D1,3,5,1000,erdos_renyi,IC,0.6,0.2,0.2,340.72222222222223,4.354,54
D1,3,6,1000,erdos_renyi,IC,0.6,0.2,0.2,378.3888888888889,4.354,53
D1,3,7,1000,erdos_renyi,IC,0.6,0.2,0.2,347.7222222222222,4.354,47
D1,3,8,1000,erdos_renyi,IC,0.6,0.2,0.2,368.5555555555555,4.354,42
D1,3,9,1000,erdos_renyi,IC,0.6,0.2,0.2,330.22222222222223,4.354,46
D1,3,10,1000,erdos_renyi,IC,0.6,0.2,0.2,347.38888888888886,4.354,49
D1,3,11,1000,erdos_renyi,IC,0.6,0.2,0.2,324.05555555555554,4.354,47
D1,3,12,1000,erdos_renyi,IC,0.6,0.2,0.2,308.55555555555554,4.354,48
D1,3,13,1000,erdos_renyi,IC,0.6,0.2,0.2,328.88888888888886,4.354,45
D1,3,14,1000,erdos_renyi,IC,0.6,0.2,0.2,364.5555555555556,4.354,47
D1,3,15,1000,erdos_renyi,IC,0.6,0.2,0.2,327.38888888888886,4.354,51
D1,3,16,1000,erdos_renyi,IC,0.6,0.2,0.2,354.8888888888889,4.354,51
D1,3,17,1000,erdos_renyi,IC,0.6,0.2,0.2,347.3888888888889,4.354,53
D1,3,18,1000,erdos_renyi,IC,0.6,0.2,0.2,358.22222222222223,4.354,50
D1,3,19,1000,erdos_renyi,IC,0.6,0.2,0.2,308.0555555555555,4.354,46
D1,3,20,1000,erdos_renyi,IC,0.6,0.2,0.2,361.0555555555556,4.354,54
D1,3,21,1000,erdos_renyi,IC,0.6,0.2,0.2,348.8888888888889,4.354,58
D1,3,22,1000,erdos_renyi,IC,0.6,0.2,0.2,369.72222222222223,4.354,55
D1,3,23,1000,erdos_renyi,IC,0.6,0.2,0.2,327.38888888888886,4.354,53
D1,3,24,1000,erdos_renyi,IC,0.6,0.2,0.2,356.38888888888886,4.354,52
D1,3,25,1000,erdos_renyi,IC,0.6,0.2,0.2,350.88888888888886,4.354,57
D1,3,26,1000,erdos_renyi,IC,0.6,0.2,0.2,363.88888888888886,4.354,53
D1,3,27,1000,erdos_renyi,IC,0.6,0.2,0.2,338.0555555555555,4.354,48
D1,3,28,1000,erdos_renyi,IC,0.6,0.2,0.2,376.7222222222222,4.354,44
D1,3,29,1000,erdos_renyi,IC,0.6,0.2,0.2,332.38888888888886,4.354,46
D1,3,30,1000,erdos_renyi,IC,0.6,0.2,0.2,397.5555555555555,4.354,45
D1,3,31,1000,erdos_renyi,IC,0.6,0.2,0.2,328.72222222222223,4.354,49
D1,3,32,1000,erdos_renyi,IC,0.6,0.2,0.2,369.88888888888897,4.354,56
D1,3,33,1000,erdos_renyi,IC,0.6,0.2,0.2,346.2222222222222,4.354,56
D1,3,34,1000,erdos_renyi,IC,0.6,0.2,0.2,345.5555555555555,4.354,54
D1,3,35,1000,erdos_renyi,IC,0.6,0.2,0.2,322.88888888888886,4.354,48
D1,3,36,1000,erdos_renyi,IC,0.6,0.2,0.2,379.5555555555556,4.354,49
D1,3,37,1000,erdos_renyi,IC,0.6,0.2,0.2,349.8888888888889,4.354,47
D1,3,38,1000,erdos_renyi,IC,0.6,0.2,0.2,378.22222222222223,4.354,50
D1,3,39,1000,erdos_renyi,IC,0.6,0.2,0.2,327.0555555555556,4.354,55
D1,3,40,1000,erdos_renyi,IC,0.6,0.2,0.2,378.22222222222223,4.354,52
D1,3,41,1000,erdos_renyi,IC,0.6,0.2,0.2,349.72222222222223,4.354,49
D1,3,42,1000,erdos_renyi,IC,0.6,0.2,0.2,342.22222222222223,4.354,50
D1,3,43,1000,erdos_renyi,IC,0.6,0.2,0.2,320.0555555555556,4.354,49
D1,3,44,1000,erdos_renyi,IC,0.6,0.2,0.2,372.0555555555555,4.354,52
D1,3,45,1000,erdos_renyi,IC,0.6,0.2,0.2,325.22222222222223,4.354,57
D1,3,46,1000,erdos_renyi,IC,0.6,0.2,0.2,345.2222222222222,4.354,59
D1,3,47,1000,erdos_renyi,IC,0.6,0.2,0.2,347.0555555555556,4.354,60
D1,3,48,1000,erdos_renyi,IC,0.6,0.2,0.2,359.22222222222223,4.354,49
D1,3,49,1000,erdos_renyi,IC,0.6,0.2,0.2,306.88888888888886,4.354,45
D1,3,50,1000,erdos_renyi,IC,0.6,0.2,0.2,361.3888888888889,4.354,52
D1,3,51,1000,erdos_renyi,IC,0.6,0.2,0.2,315.3888888888889,4.354,53
D1,3,52,1000,erdos_renyi,IC,0.6,0.2,0.2,359.88888888888886,4.354,55
D1,3,53,1000,erdos_renyi,IC,0.6,0.2,0.2,357.2222222222222,4.354,53
D1,3,54,1000,erdos_renyi,IC,0.6,0.2,0.2,373.0555555555556,4.354,50
D1,3,55,1000,erdos_renyi,IC,0.6,0.2,0.2,339.72222222222223,4.354,54
D1,3,56,1000,erdos_renyi,IC,0.6,0.2,0.2,368.72222222222223,4.354,56
D1,3,57,1000,erdos_renyi,IC,0.6,0.2,0.2,344.72222222222223,4.354,50
D1,3,58,1000,erdos_renyi,IC,0.6,0.2,0.2,386.0555555555555,4.354,46
D1,3,59,1000,erdos_renyi,IC,0.6,0.2,0.2,303.05555555555554,4.354,50
D1,3,60,1000,erdos_renyi,IC,0.6,0.2,0.2,393.5555555555555,4.354,54
