source,target
0,92
0,220
0,273
0,336
0,375
0,519
0,527
0,654
0,888
1,25
1,52
1,82
1,166
1,313
1,330
1,471
1,532
1,638
1,808
1,920
1,926
2,261
2,281
2,307
2,431
2,449
2,547
2,840
2,876
2,924
3,69
3,167
3,311
3,314
3,331
3,375
3,455
3,457
3,925
3,933
3,973
4,128
4,290
4,405
4,496
4,537
4,598
4,600
4,753
4,889
4,914
4,922
4,925
4,934
5,62
5,78
5,150
5,247
5,282
5,382
5,605
5,640
5,691
5,699
5,755
5,959
5,981
6,46
6,62
6,65
6,155
6,448
6,453
6,469
6,525
6,955
6,961
7,120
7,418
7,448
7,494
7,595
7,695
7,740
7,869
7,902
8,100
8,264
8,300
8,315
8,441
8,701
8,859
9,38
9,41
9,121
9,166
9,285
9,792
9,832
9,920
10,248
10,286
10,344
10,351
10,371
10,429
11,332
11,403
11,448
11,530
11,577
11,685
11,756
11,865
11,968
12,334
12,382
12,385
12,408
12,511
12,568
12,663
12,732
12,878
12,927
13,161
13,168
13,298
13,475
13,548
13,595
13,703
13,720
13,972
14,70
14,82
14,150
14,202
14,240
14,303
14,401
14,477
14,749
14,827
14,840
14,935
14,973
15,195
15,204
15,217
15,244
15,257
15,354
15,667
15,691
15,694
15,827
15,859
15,891
16,64
16,90
16,270
16,352
16,440
16,591
16,636
16,704
16,723
16,803
16,924
17,126
17,165
17,172
17,425
17,539
17,561
17,758
17,767
17,823
17,914
17,920
17,994
18,66
18,379
18,414
18,813
18,829
18,929
19,170
19,348
19,406
19,555
19,584
19,705
19,764
19,852
19,855
19,895
19,970
20,98
20,157
20,169
20,179
20,192
20,398
20,431
20,506
20,606
20,718
20,733
20,896
21,126
21,146
21,206
21,398
21,448
21,669
21,695
21,717
21,807
21,824
21,846
22,189
22,409
22,447
22,456
22,558
22,669
22,680
22,729
22,759
22,807
22,899
22,908
23,127
23,288
23,314
23,521
23,673
23,747
23,834
24,107
24,215
24,363
24,401
24,466
24,593
24,610
24,711
24,786
24,844
24,941
25,256
25,532
25,536
25,551
25,607
25,659
25,787
25,918
26,249
26,301
26,467
26,494
26,501
26,508
26,538
26,550
26,574
26,825
26,919
27,350
27,412
27,465
27,563
27,706
27,848
27,926
27,960
28,33
28,184
28,445
28,487
28,704
28,712
28,953
29,206
29,232
29,250
29,367
29,798
29,920
30,61
30,153
30,305
30,334
30,461
30,509
31,40
31,53
31,106
31,145
31,263
31,284
31,389
31,442
31,499
31,597
31,787
31,910
31,969
32,48
32,149
32,173
32,356
32,450
32,491
32,574
32,722
32,753
33,174
33,294
33,343
33,479
33,785
33,870
34,143
34,144
34,370
34,530
34,682
34,711
34,732
34,842
34,888
35,142
35,179
35,238
35,398
35,483
35,552
35,584
35,615
35,729
35,881
36,102
36,268
36,518
36,520
36,677
36,759
36,848
37,101
37,121
37,299
37,354
37,738
37,933
38,63
38,69
38,105
38,123
38,136
38,152
38,291
38,462
38,590
38,595
38,604
38,729
38,811
38,943
38,959
38,996
39,112
39,126
39,147
39,441
39,551
39,565
39,655
39,734
39,872
40,147
40,192
40,326
40,534
40,559
40,593
40,606
40,634
40,765
40,800
40,896
41,72
41,276
41,350
41,429
41,461
41,608
41,616
41,748
41,749
41,877
42,71
42,76
42,227
42,452
42,549
42,903
42,924
42,930
42,946
43,107
43,415
43,444
43,496
43,502
43,643
43,752
43,764
44,137
44,156
44,198
44,217
44,423
44,708
44,870
45,219
45,284
45,392
45,432
45,483
45,579
45,844
46,96
46,158
46,200
46,323
46,374
46,770
46,795
46,911
46,955
47,213
47,674
47,908
47,994
47,995
48,98
48,496
48,582
48,616
48,691
48,807
48,882
48,892
48,952
49,84
49,142
49,183
49,198
49,202
49,267
49,379
49,415
49,508
49,874
49,966
