voter_id,agent_type,loyalty,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,initial_vote
0,strategic,0.0,Macron,Roussel,Poutou,Jadot,Lassalle,Arthaud,Melenchon,Hidalgo,Dupont-Aignan,Le Pen,Zemmour,Pecresse,Macron
1,strategic,0.0,Pecresse,Jadot,Zemmour,Lassalle,Arthaud,Poutou,Le Pen,Melenchon,Hidalgo,Dupont-Aignan,Macron,Roussel,Pecresse
2,strategic,0.0,Jadot,Pecresse,Hidalgo,Macron,Roussel,Le Pen,Lassalle,Zemmour,Dupont-Aignan,Poutou,Arthaud,Melenchon,Jadot
3,stubborn,1.0,Lassalle,Macron,Poutou,Arthaud,Melenchon,Le Pen,Roussel,Pecresse,Zemmour,Hidalgo,Jadot,Dupont-Aignan,Lassalle
4,strategic,0.0,Dupont-Aignan,Macron,Le Pen,Zemmour,Pecresse,Hidalgo,Arthaud,Lassalle,Melenchon,Jadot,Poutou,Roussel,Dupont-Aignan
5,stubborn,1.0,Zemmour,Hidalgo,Macron,Le Pen,Arthaud,Lassalle,Roussel,Pecresse,Jadot,Melenchon,Poutou,Dupont-Aignan,Zemmour
6,stubborn,1.0,Jadot,Zemmour,Arthaud,Melenchon,Poutou,Roussel,Le Pen,Dupont-Aignan,Macron,Pecresse,Hidalgo,Lassalle,Jadot
7,strategic,0.0,Zemmour,Roussel,Dupont-Aignan,Le Pen,Poutou,Macron,Hidalgo,Melenchon,Lassalle,Jadot,Arthaud,Pecresse,Zemmour
8,strategic,0.0,Hidalgo,Zemmour,Roussel,Melenchon,Le Pen,Lassalle,Dupont-Aignan,Arthaud,Pecresse,Macron,Poutou,Jadot,Hidalgo
9,strategic,0.0,Lassalle,Roussel,Hidalgo,Le Pen,Macron,Dupont-Aignan,Zemmour,Jadot,Pecresse,Melenchon,Poutou,Arthaud,Lassalle
10,stubborn,1.0,Hidalgo,Lassalle,Arthaud,Jadot,Poutou,Macron,Pecresse,Roussel,Zemmour,Dupont-Aignan,Le Pen,Melenchon,Hidalgo
11,mixed,0.489,Le Pen,Pecresse,Melenchon,Arthaud,Hidalgo,Jadot,Dupont-Aignan,Lassalle,Macron,Poutou,Zemmour,Roussel,Le Pen
12,mixed,0.469,Dupont-Aignan,Lassalle,Jadot,Zemmour,Roussel,Hidalgo,Poutou,Macron,Arthaud,Melenchon,Pecresse,Le Pen,Dupont-Aignan
13,mixed,0.609,Hidalgo,Roussel,Pecresse,Macron,Lassalle,Melenchon,Poutou,Dupont-Aignan,Jadot,Arthaud,Le Pen,Zemmour,Hidalgo
14,mixed,0.568,Arthaud,Pecresse,Melenchon,Hidalgo,Zemmour,Poutou,Le Pen,Dupont-Aignan,Macron,Lassalle,Jadot,Roussel,Arthaud
15,strategic,0.0,Jadot,Macron,Pecresse,Roussel,Hidalgo,Le Pen,Melenchon,Dupont-Aignan,Lassalle,Zemmour,Poutou,Arthaud,Jadot
16,stubborn,1.0,Macron,Melenchon,Roussel,Hidalgo,Zemmour,Dupont-Aignan,Poutou,Arthaud,Le Pen,Jadot,Lassalle,Pecresse,Macron
17,mixed,0.514,Macron,Arthaud,Poutou,Melenchon,Le Pen,Dupont-Aignan,Pecresse,Hidalgo,Jadot,Zemmour,Lassalle,Roussel,Macron
18,stubborn,1.0,Melenchon,Pecresse,Hidalgo,Arthaud,Dupont-Aignan,Jadot,Le Pen,Macron,Poutou,Lassalle,Roussel,Zemmour,Melenchon
19,strategic,0.0,Roussel,Poutou,Hidalgo,Melenchon,Arthaud,Macron,Lassalle,Jadot,Dupont-Aignan,Zemmour,Le Pen,Pecresse,Roussel
20,strategic,0.0,Poutou,Jadot,Hidalgo,Melenchon,Lassalle,Roussel,Zemmour,Macron,Le Pen,Arthaud,Pecresse,Dupont-Aignan,Poutou
21,mixed,0.459,Le Pen,Lassalle,Dupont-Aignan,Macron,Melenchon,Roussel,Zemmour,Arthaud,Pecresse,Poutou,Hidalgo,Jadot,Le Pen
22,strategic,0.0,Le Pen,Macron,Roussel,Zemmour,Lassalle,Hidalgo,Arthaud,Jadot,Melenchon,Dupont-Aignan,Pecresse,Poutou,Le Pen
23,strategic,0.0,Dupont-Aignan,Arthaud,Hidalgo,Le Pen,Jadot,Pecresse,Melenchon,Poutou,Zemmour,Lassalle,Roussel,Macron,Dupont-Aignan
24,mixed,0.883,Hidalgo,Poutou,Zemmour,Jadot,Arthaud,Macron,Melenchon,Roussel,Lassalle,Le Pen,Pecresse,Dupont-Aignan,Hidalgo
25,stubborn,1.0,Roussel,Melenchon,Poutou,Lassalle,Pecresse,Jadot,Dupont-Aignan,Macron,Arthaud,Hidalgo,Zemmour,Le Pen,Roussel
26,strategic,0.0,Jadot,Le Pen,Melenchon,Dupont-Aignan,Hidalgo,Pecresse,Roussel,Arthaud,Lassalle,Zemmour,Poutou,Macron,Jadot
27,strategic,0.0,Le Pen,Hidalgo,Zemmour,Roussel,Melenchon,Dupont-Aignan,Jadot,Pecresse,Lassalle,Macron,Poutou,Arthaud,Le Pen
28,stubborn,1.0,Le Pen,Lassalle,Zemmour,Macron,Hidalgo,Roussel,Jadot,Dupont-Aignan,Melenchon,Arthaud,Pecresse,Poutou,Le Pen
29,mixed,0.877,Dupont-Aignan,Pecresse,Zemmour,Hidalgo,Jadot,Lassalle,Le Pen,Roussel,Arthaud,Poutou,Macron,Melenchon,Dupont-Aignan
