source,target
0,20
0,125
0,270
0,291
0,298
0,369
0,395
0,428
0,482
0,685
0,883
1,29
1,136
1,171
1,177
1,394
1,810
1,839
1,964
2,118
2,126
2,159
2,227
2,432
2,522
2,549
2,569
2,574
2,593
2,741
2,754
2,761
2,930
2,996
3,217
3,221
3,323
3,416
3,527
3,722
3,749
3,811
3,854
4,48
4,86
4,116
4,167
4,365
4,370
4,374
4,378
4,466
4,512
4,745
4,952
5,30
5,48
5,123
5,249
5,266
5,521
5,623
5,645
5,736
5,900
5,988
6,662
6,763
6,807
6,942
6,966
7,210
7,215
7,251
7,274
7,338
7,427
7,454
7,593
7,626
7,691
7,785
7,893
8,27
8,62
8,67
8,185
8,264
8,353
8,415
8,443
8,540
8,748
8,883
8,922
9,38
9,132
9,200
9,220
9,292
9,766
9,832
9,860
9,864
10,455
10,497
10,512
10,684
10,738
10,836
10,903
10,980
11,40
11,356
11,522
11,709
11,777
11,975
12,274
12,322
12,442
12,657
12,784
12,803
12,820
13,111
13,174
13,179
13,319
13,412
13,474
13,604
13,635
13,775
13,798
13,915
14,15
14,23
14,117
14,136
14,232
14,290
14,394
14,517
14,523
14,593
14,758
14,803
14,948
15,151
15,198
15,370
15,468
15,662
15,687
15,706
15,710
15,886
15,943
16,107
16,151
16,885
16,958
17,147
17,189
17,198
17,252
17,286
17,331
17,513
17,768
17,908
17,980
18,103
18,382
18,489
18,499
18,560
18,561
18,568
18,646
18,691
18,759
18,866
18,961
19,218
19,246
19,271
19,344
19,412
19,451
19,565
19,574
19,586
19,764
19,851
19,886
19,936
19,949
19,978
20,46
20,224
20,320
20,368
20,397
20,428
20,639
20,746
20,937
20,957
20,977
21,70
21,95
21,278
21,319
21,354
21,467
21,517
21,524
21,612
21,663
21,674
21,729
21,746
21,770
21,918
21,948
22,99
22,453
22,538
22,560
22,599
22,680
22,797
22,951
23,77
23,88
23,141
23,257
23,264
23,326
23,338
23,350
23,518
23,557
23,597
23,651
23,763
23,938
23,980
24,45
24,116
24,271
24,299
24,317
24,327
24,528
24,540
24,905
24,979
25,73
25,133
25,256
25,434
25,491
25,904
26,414
26,478
26,666
26,740
26,816
26,901
27,152
27,216
27,428
27,470
27,474
27,507
27,688
27,871
27,941
27,981
28,59
28,122
28,181
28,234
28,235
28,311
28,396
28,562
28,604
28,632
28,704
28,766
28,776
28,796
28,984
29,265
29,412
29,545
29,624
29,715
30,61
30,229
30,267
30,271
30,312
30,553
30,571
30,778
30,785
30,974
30,985
31,79
31,117
31,225
31,292
31,315
31,528
31,581
31,603
31,710
31,773
31,857
31,866
31,933
32,43
32,289
32,338
32,418
32,602
32,604
32,865
33,154
33,274
33,368
33,404
33,555
33,558
33,658
33,829
33,905
33,996
34,137
34,207
34,317
34,329
34,350
34,351
34,439
34,490
34,580
34,645
34,722
34,869
35,345
35,402
35,568
35,593
35,612
35,743
35,842
35,947
35,958
36,87
36,98
36,262
36,278
36,472
36,538
36,629
36,670
36,743
36,769
37,183
37,230
37,420
37,451
37,470
37,518
37,520
37,760
38,59
38,85
38,93
38,152
38,287
38,499
38,509
38,601
38,730
38,953
39,104
39,334
39,593
39,746
39,778
39,904
39,950
40,126
40,142
40,231
40,391
40,406
40,739
40,749
40,800
40,843
40,892
41,103
41,174
41,213
41,283
41,383
41,446
41,474
41,603
41,644
41,898
41,962
41,997
42,43
42,152
42,228
42,243
42,260
42,270
42,298
42,500
42,515
42,587
42,882
42,916
43,51
43,61
43,137
43,390
43,398
43,439
43,599
43,612
43,750
43,865
43,919
43,956
43,961
44,116
44,256
44,354
44,531
44,572
44,594
44,692
44,710
44,917
45,349
45,438
45,486
45,554
45,566
45,615
45,987
46,360
46,370
46,385
46,555
46,599
46,734
46,935
47,118
47,130
47,201
47,265
47,341
47,453
47,585
47,851
47,931
48,54
48,64
48,70
48,73
48,95
48,149
48,166
48,289
48,303
48,426
48,452
48,570
48,668
48,693
48,699
49,147
49,151
49,162
49,206
49,224
49,239
49,455
49,463
49,588
49,663
49,893
49,936
49,938
