source,target
0,141
0,412
0,477
0,853
0,857
1,68
1,447
1,533
1,673
1,778
2,10
2,49
2,77
2,277
2,412
2,560
2,587
2,592
2,741
2,881
2,906
2,980
3,42
3,110
3,207
3,422
3,469
3,501
3,625
3,631
3,731
3,790
3,989
4,216
4,363
4,377
4,430
4,688
4,745
4,766
4,879
4,923
4,928
4,937
5,42
5,307
5,499
5,517
5,523
5,627
5,825
5,844
5,913
5,967
6,31
6,47
6,49
6,69
6,104
6,363
6,500
6,799
6,829
6,986
7,87
7,124
7,178
7,273
7,303
7,494
7,502
7,515
7,627
7,931
7,954
7,977
8,30
8,107
8,118
8,119
8,129
8,168
8,176
8,183
8,220
8,222
8,443
8,545
8,577
8,615
8,620
8,636
8,712
8,715
8,739
8,830
8,859
8,921
9,102
9,442
9,509
9,539
9,693
9,776
9,783
9,836
9,928
9,982
10,470
10,574
10,843
10,984
11,13
11,129
11,188
11,194
11,303
11,364
11,391
11,530
11,542
11,602
11,636
11,705
11,747
11,773
11,847
11,973
12,14
12,66
12,496
12,503
12,552
12,773
12,908
12,976
13,81
13,136
13,141
13,154
13,335
13,489
13,493
13,527
13,636
13,764
14,74
14,79
14,153
14,198
14,243
14,277
14,376
14,421
14,425
14,459
14,653
14,757
14,845
14,864
15,109
15,160
15,167
15,185
15,264
15,378
15,393
15,443
15,665
15,679
15,866
15,880
15,953
15,982
16,107
16,242
16,400
16,514
16,601
16,732
17,111
17,238
17,603
17,645
17,829
17,923
17,936
17,992
18,134
18,156
18,168
18,215
18,264
18,488
18,498
18,499
18,550
18,669
18,711
18,769
19,20
19,57
19,186
19,427
19,640
19,660
19,677
19,715
19,821
19,863
20,43
20,224
20,268
20,327
20,417
20,503
20,605
20,848
21,60
21,68
21,198
21,342
21,448
21,681
21,785
21,966
21,978
21,981
22,177
22,245
22,317
22,362
22,480
22,504
22,604
22,619
22,758
22,893
23,46
23,330
23,363
23,512
23,619
23,738
23,830
23,894
23,994
24,429
24,483
24,600
24,603
24,611
24,665
24,681
24,801
24,832
24,967
25,102
25,131
25,306
25,312
25,321
25,394
25,434
25,460
25,746
25,819
25,886
25,889
25,892
25,902
26,53
26,111
26,200
26,214
26,216
26,299
26,382
26,607
26,611
26,659
26,724
27,101
27,109
27,226
27,275
27,307
27,354
27,466
27,495
27,503
27,741
27,822
27,888
27,897
28,183
28,217
28,423
28,467
28,673
28,685
28,694
28,748
28,823
29,30
29,261
29,476
29,523
29,625
29,641
29,738
30,34
30,36
30,66
30,146
30,167
30,181
30,304
30,404
30,435
30,537
30,540
30,552
30,619
30,655
30,765
31,55
31,359
31,382
31,413
31,486
31,501
31,611
31,717
31,799
31,818
32,111
32,605
32,683
33,105
33,303
33,366
33,400
33,458
33,490
33,570
33,587
33,685
33,901
34,246
34,256
34,435
34,504
34,559
34,610
34,622
34,844
34,902
34,995
35,149
35,160
35,178
35,286
35,419
35,517
35,647
35,706
35,767
35,774
35,793
35,839
36,301
36,354
36,368
36,484
36,784
36,869
36,886
36,948
36,961
36,978
37,192
37,506
37,576
37,716
37,889
37,971
38,62
38,149
38,159
38,206
38,229
38,285
38,328
38,374
38,467
38,504
38,573
38,681
38,697
38,737
38,919
38,928
39,48
39,125
39,151
39,175
39,215
39,288
39,423
39,594
39,647
39,673
39,705
39,794
39,887
39,892
40,57
40,168
40,351
40,379
40,393
40,493
40,800
40,805
40,862
40,865
40,896
40,947
40,948
41,141
41,267
41,268
41,278
41,426
41,461
41,876
41,983
42,72
42,108
42,310
42,330
42,355
42,669
42,758
42,828
42,868
42,905
43,190
43,289
43,479
43,607
43,657
43,750
43,765
43,827
43,831
43,973
44,110
44,137
44,495
44,511
44,536
44,634
44,686
44,903
44,921
45,272
45,374
45,463
45,494
45,847
45,998
46,139
46,153
46,281
46,323
46,398
46,522
46,915
47,155
47,201
47,344
47,396
47,437
47,541
47,626
47,681
47,703
47,911
47,913
48,60
48,411
48,424
48,572
48,600
48,789
49,105
49,136
49,166
49,218
49,241
49,252
49,311
49,350
49,545
49,602
49,777
49,872
49,989
50,250
50,291
50,363
50,369
50,507
50,708
50,723
50,757
50,928
50,930
51,175
51,307
51,528
51,555
51,625
51,716
51,753
51,900
51,999
52,346
52,505
52,553
52,866
52,888
52,913
53,220
53,272
53,374
53,568
53,653
53,694
54,459
54,550
54,672
54,747
54,831
55,61
55,94
55,209
55,659
55,717
55,741
55,827
56,137
56,145
56,188
56,191
56,883
56,899
56,913
57,135
57,188
57,409
57,415
57,480
57,511
57,520
57,614
57,618
57,644
57,754
57,922
57,965
58,81
58,134
58,223
58,332
58,663
58,753
58,765
58,779
58,946
59,230
59,288
59,304
59,312
59,697
59,768
59,860
59,866
60,68
60,114
60,270
60,393
60,450
60,694
60,734
60,825
60,943
60,998
61,119
61,190
61,264
61,326
61,331
61,385
61,537
61,545
61,761
61,828
61,944
61,947
62,246
62,304
62,310
62,419
62,471
62,715
62,717
62,802
62,873
62,932
62,966
62,975
62,985
63,114
63,117
63,165
63,506
63,537
63,695
63,779
63,928
64,66
64,221
64,289
64,312
64,315
64,419
64,454
64,462
64,509
64,599
64,610
64,647
64,850
65,77
65,94
65,141
65,144
65,176
65,306
65,375
65,503
65,572
65,581
65,683
65,787
65,813
65,874
65,907
66,120
66,332
66,346
66,362
66,424
66,428
66,429
66,546
66,737
66,779
66,935
67,161
67,262
67,413
67,501
67,511
67,546
67,655
67,853
67,981
68,74
68,391
68,428
68,491
68,703
68,738
68,761
68,867
68,932
69,358
69,620
69,621
69,697
69,806
69,832
69,850
69,854
69,918
69,953
70,122
70,191
70,242
70,310
70,327
70,360
70,802
70,893
71,155
71,221
71,242
71,440
71,731
71,761
71,954
72,442
72,996
73,197
73,268
73,341
73,367
73,510
73,599
73,640
73,665
73,694
73,913
73,918
73,947
73,949
74,371
74,403
74,810
74,921
75,357
75,403
75,996
75,997
76,144
76,326
76,336
76,365
76,398
76,429
76,495
76,548
76,684
76,709
76,832
76,842
76,851
77,154
77,279
77,306
77,417
77,502
77,634
77,822
77,935
77,946
78,155
78,539
78,579
78,819
79,84
79,103
79,134
79,182
79,232
79,317
79,327
79,475
79,523
79,586
79,832
79,852
79,935
80,168
80,178
80,320
80,473
80,557
80,603
80,684
80,696
80,750
80,870
81,198
81,302
81,514
81,580
81,583
81,691
