scenario_id,repetition_id,run_folder,num_agents,network_type,preference_model,prop_stubborn,prop_strategic,prop_mixed,avg_degree,seed
D1,1,D1_N1000_run_001,1000,erdos_renyi,IC,0.6,0.2,0.2,10,42
D1,2,D1_N1000_run_002,1000,erdos_renyi,IC,0.6,0.2,0.2,10,43
D1,3,D1_N1000_run_003,1000,erdos_renyi,IC,0.6,0.2,0.2,10,44
D1,4,D1_N1000_run_004,1000,erdos_renyi,IC,0.6,0.2,0.2,10,45
D1,5,D1_N1000_run_005,1000,erdos_renyi,IC,0.6,0.2,0.2,10,46
D1,6,D1_N1000_run_006,1000,erdos_renyi,IC,0.6,0.2,0.2,10,47
D1,7,D1_N1000_run_007,1000,erdos_renyi,IC,0.6,0.2,0.2,10,48
D1,8,D1_N1000_run_008,1000,erdos_renyi,IC,0.6,0.2,0.2,10,49
D1,9,D1_N1000_run_009,1000,erdos_renyi,IC,0.6,0.2,0.2,10,50
D1,10,D1_N1000_run_010,1000,erdos_renyi,IC,0.6,0.2,0.2,10,51
D1,1,D1_N3000_run_001,3000,erdos_renyi,IC,0.6,0.2,0.2,10,52
D1,2,D1_N3000_run_002,3000,erdos_renyi,IC,0.6,0.2,0.2,10,53
D1,3,D1_N3000_run_003,3000,erdos_renyi,IC,0.6,0.2,0.2,10,54
D1,4,D1_N3000_run_004,3000,erdos_renyi,IC,0.6,0.2,0.2,10,55
D1,5,D1_N3000_run_005,3000,erdos_renyi,IC,0.6,0.2,0.2,10,56
D1,6,D1_N3000_run_006,3000,erdos_renyi,IC,0.6,0.2,0.2,10,57
D1,7,D1_N3000_run_007,3000,erdos_renyi,IC,0.6,0.2,0.2,10,58
D1,8,D1_N3000_run_008,3000,erdos_renyi,IC,0.6,0.2,0.2,10,59
D1,9,D1_N3000_run_009,3000,erdos_renyi,IC,0.6,0.2,0.2,10,60
D1,10,D1_N3000_run_010,3000,erdos_renyi,IC,0.6,0.2,0.2,10,61
D1,1,D1_N5000_run_001,5000,erdos_renyi,IC,0.6,0.2,0.2,10,62
D1,2,D1_N5000_run_002,5000,erdos_renyi,IC,0.6,0.2,0.2,10,63
D1,3,D1_N5000_run_003,5000,erdos_renyi,IC,0.6,0.2,0.2,10,64
D1,4,D1_N5000_run_004,5000,erdos_renyi,IC,0.6,0.2,0.2,10,65
D1,5,D1_N5000_run_005,5000,erdos_renyi,IC,0.6,0.2,0.2,10,66
D1,6,D1_N5000_run_006,5000,erdos_renyi,IC,0.6,0.2,0.2,10,67
D1,7,D1_N5000_run_007,5000,erdos_renyi,IC,0.6,0.2,0.2,10,68
D1,8,D1_N5000_run_008,5000,erdos_renyi,IC,0.6,0.2,0.2,10,69
D1,9,D1_N5000_run_009,5000,erdos_renyi,IC,0.6,0.2,0.2,10,70
D1,10,D1_N5000_run_010,5000,erdos_renyi,IC,0.6,0.2,0.2,10,71
D2,1,D2_N1000_run_001,1000,erdos_renyi,IC,0.4,0.3,0.3,10,72
D2,2,D2_N1000_run_002,1000,erdos_renyi,IC,0.4,0.3,0.3,10,73
D2,3,D2_N1000_run_003,1000,erdos_renyi,IC,0.4,0.3,0.3,10,74
D2,4,D2_N1000_run_004,1000,erdos_renyi,IC,0.4,0.3,0.3,10,75
D2,5,D2_N1000_run_005,1000,erdos_renyi,IC,0.4,0.3,0.3,10,76
D2,6,D2_N1000_run_006,1000,erdos_renyi,IC,0.4,0.3,0.3,10,77
D2,7,D2_N1000_run_007,1000,erdos_renyi,IC,0.4,0.3,0.3,10,78
D2,8,D2_N1000_run_008,1000,erdos_renyi,IC,0.4,0.3,0.3,10,79
D2,9,D2_N1000_run_009,1000,erdos_renyi,IC,0.4,0.3,0.3,10,80
D2,10,D2_N1000_run_010,1000,erdos_renyi,IC,0.4,0.3,0.3,10,81
D2,1,D2_N3000_run_001,3000,erdos_renyi,IC,0.4,0.3,0.3,10,82
D2,2,D2_N3000_run_002,3000,erdos_renyi,IC,0.4,0.3,0.3,10,83
D2,3,D2_N3000_run_003,3000,erdos_renyi,IC,0.4,0.3,0.3,10,84
D2,4,D2_N3000_run_004,3000,erdos_renyi,IC,0.4,0.3,0.3,10,85
D2,5,D2_N3000_run_005,3000,erdos_renyi,IC,0.4,0.3,0.3,10,86
D2,6,D2_N3000_run_006,3000,erdos_renyi,IC,0.4,0.3,0.3,10,87
D2,7,D2_N3000_run_007,3000,erdos_renyi,IC,0.4,0.3,0.3,10,88
