voter_id,agent_type,loyalty,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,initial_vote
0,stubborn,1.0,Jadot,Le Pen,Hidalgo,Roussel,Pecresse,Macron,Arthaud,Melenchon,Zemmour,Poutou,Lassalle,Dupont-Aignan,Jadot
1,stubborn,1.0,Roussel,Le Pen,Dupont-Aignan,Poutou,Hidalgo,Jadot,Zemmour,Pecresse,Melenchon,Lassalle,Arthaud,Macron,Roussel
2,stubborn,1.0,Lassalle,Hidalgo,Le Pen,Zemmour,Dupont-Aignan,Melenchon,Roussel,Arthaud,Macron,Poutou,Pecresse,Jadot,Lassalle
3,stubborn,1.0,Arthaud,Zemmour,Dupont-Aignan,Roussel,Melenchon,Pecresse,Macron,Poutou,Hidalgo,Le Pen,Jadot,Lassalle,Arthaud
4,stubborn,1.0,Zemmour,Jadot,Poutou,Hidalgo,Lassalle,Arthaud,Melenchon,Le Pen,Pecresse,Roussel,Dupont-Aignan,Macron,Zemmour
5,stubborn,1.0,Zemmour,Pecresse,Melenchon,Jadot,Hidalgo,Roussel,Macron,Arthaud,Dupont-Aignan,Lassalle,Poutou,Le Pen,Zemmour
6,stubborn,1.0,Roussel,Arthaud,Hidalgo,Melenchon,Pecresse,Dupont-Aignan,Lassalle,Zemmour,Macron,Le Pen,Jadot,Poutou,Roussel
7,stubborn,1.0,Arthaud,Jadot,Melenchon,Zemmour,Dupont-Aignan,Pecresse,Hidalgo,Macron,Poutou,Lassalle,Roussel,Le Pen,Arthaud
8,stubborn,1.0,Dupont-Aignan,Arthaud,Le Pen,Hidalgo,Pecresse,Zemmour,Macron,Melenchon,Poutou,Jadot,Lassalle,Roussel,Dupont-Aignan
9,stubborn,1.0,Poutou,Arthaud,Macron,Zemmour,Le Pen,Jadot,Pecresse,Melenchon,Lassalle,Dupont-Aignan,Hidalgo,Roussel,Poutou
