source,target
0,317
0,521
0,1021
0,1209
0,1395
0,1584
0,1820
0,2073
0,3160
0,3422
0,3511
0,3630
1,150
1,560
1,1316
1,1601
1,2862
1,3924
1,4516
1,4692
2,953
2,1562
2,2606
2,3865
2,4082
2,4114
2,4277
2,4443
3,538
3,1038
3,1247
3,1933
3,2028
3,2353
3,3224
4,1514
4,3134
4,3386
4,3650
4,4006
4,4453
5,269
5,277
5,703
5,923
5,2531
5,2968
5,3140
5,3893
5,3930
5,4004
5,4217
5,4545
6,71
6,526
6,665
6,1574
6,1700
6,1877
6,1905
6,2145
6,3154
7,287
7,427
7,1909
7,2151
7,3165
7,3371
7,4543
7,4832
7,4985
8,28
8,325
8,1436
8,1677
8,2603
8,3391
8,4053
8,4971
9,56
9,584
9,661
9,850
9,943
9,1317
9,1872
9,2103
9,2573
9,2730
9,2805
9,3564
9,3734
9,3858
9,4101
10,56
10,223
10,432
10,943
10,1370
10,1620
10,2431
10,2449
10,3002
10,3045
10,3229
10,4443
11,66
11,287
11,1028
11,1344
11,1914
11,1931
11,1934
11,2136
11,2500
11,2525
11,3273
11,3324
11,3477
11,4158
11,4796
12,718
12,765
12,804
12,1391
12,1805
12,2145
12,2887
12,3336
12,3725
12,4113
12,4152
12,4197
13,259
13,889
13,1260
13,1389
13,1519
13,1568
13,1640
13,2074
13,2210
13,3000
13,3070
13,3167
13,3189
13,3662
13,4055
13,4308
13,4632
14,68
14,2449
14,2776
14,2977
14,3964
14,4104
14,4171
14,4397
15,786
15,1051
15,1135
15,1343
15,1582
15,1931
15,2252
15,2849
15,2967
15,3333
15,4365
16,281
16,2317
16,2402
16,3096
16,3687
16,4631
16,4729
17,192
17,452
17,4437
17,4984
18,245
18,1564
18,1651
18,2548
18,3040
18,3495
18,3608
18,3827
18,4712
18,4818
19,588
19,876
19,1353
19,1727
19,1860
19,2006
19,2162
19,2304
19,2679
19,2786
19,2890
19,3049
19,3448
19,3472
19,3895
19,4065
20,1041
20,3040
20,3972
21,1265
21,1660
21,2730
21,3021
21,3181
21,3598
21,3663
21,4076
22,297
22,1520
22,1773
22,1867
22,2745
22,3431
22,3672
22,3796
22,4210
22,4465
22,4590
22,4798
22,4828
22,4849
22,4889
22,4977
23,234
23,1091
23,1158
23,1311
23,2620
23,2656
23,3302
23,3906
23,4522
24,146
24,752
24,855
24,924
24,2129
24,2295
24,2478
24,2720
24,3272
24,3469
24,4583
24,4824
25,51
25,548
25,1027
25,1797
25,3676
25,4922
26,527
26,902
26,1187
26,1293
26,1343
26,1874
26,1955
26,2019
27,205
27,712
27,760
27,1473
27,1698
27,1741
27,1892
27,2031
27,2176
27,2520
27,2715
27,3019
27,3075
27,3738
27,3837
27,4105
27,4834
28,177
28,577
28,1262
28,1325
28,1363
28,1681
28,2296
28,2582
28,2806
28,2847
28,2881
28,3726
28,4092
28,4373
28,4939
29,1128
29,1578
29,2722
29,4179
29,4418
30,724
30,1115
30,1530
30,1656
30,2091
30,2126
30,3215
30,3764
30,4701
31,315
31,535
31,1394
31,1561
31,1651
31,1758
31,1863
31,2426
31,3505
31,3539
31,3588
31,4798
31,4820
32,34
32,1982
32,2800
32,2922
32,3047
32,3463
32,3549
32,3990
32,4943
33,692
33,1173
33,1389
33,1672
33,2113
33,2404
33,2918
33,3417
33,3678
33,4600
34,319
34,352
34,520
34,820
34,977
34,2723
34,2927
34,3308
34,4239
34,4424
34,4842
35,301
35,385
35,1788
35,2128
35,2273
35,2308
35,3652
35,3763
35,4593
35,4693
36,338
36,1329
36,1549
36,3658
36,4349
36,4528
36,4973
37,143
37,285
37,581
37,838
37,2043
37,3082
37,3700
37,4148
37,4239
37,4471
37,4580
37,4781
38,76
38,144
38,716
38,918
38,2199
38,2887
38,3777
38,3845
38,4601
39,41
39,361
39,890
39,1101
39,1420
39,1757
39,2030
39,3631
39,3741
39,4001
39,4255
39,4746
39,4876
40,212
40,541
40,576
40,683
40,1204
40,1638
40,3319
40,3404
40,3597
40,3656
40,3666
40,3808
41,76
41,120
41,1820
41,2271
41,2489
41,2798
41,3306
41,4007
41,4419
42,120
42,1659
42,2683
42,4111
42,4307
42,4575
42,4812
43,249
43,305
43,346
43,409
43,417
43,922
43,925
43,1769
43,2678
43,2762
43,4132
43,4280
43,4889
44,1188
44,1212
44,1301
44,1910
44,1931
44,3339
44,3779
44,4557
44,4925
45,730
45,1298
45,1592
45,1771
45,1804
45,2109
45,2237
45,2250
45,2286
45,2324
45,2879
45,3088
45,4867
45,4891
46,260
46,278
46,1226
46,1445
46,1683
46,2182
46,2642
46,2913
46,3367
46,3747
46,4045
46,4112
46,4412
46,4498
46,4861
46,4868
47,774
47,1125
47,1605
47,1693
47,2416
47,2497
47,2504
47,2559
47,2978
47,3632
47,3684
47,3866
48,126
48,387
48,602
48,840
48,1628
48,1864
48,1918
48,1946
48,2011
48,2062
48,2855
48,3412
48,3443
48,4783
49,330
49,537
49,846
49,1446
49,2286
49,2528
49,4971
50,802
50,2559
50,2707
50,3636
50,4106
51,133
51,221
51,1107
51,1226
51,1997
51,2371
51,3027
51,3308
51,3876
52,211
52,317
52,359
52,613
52,710
52,814
52,1707
52,2187
52,4408
52,4650
53,102
53,721
53,810
53,1318
53,1404
53,1605
53,2557
53,2844
53,3534
53,3906
53,4147
53,4212
53,4228
53,4718
54,109
54,470
54,527
54,1174
54,4198
54,4651
55,347
55,892
55,968
55,1287
55,2171
55,2254
55,2280
55,3633
55,3988
56,116
56,124
56,161
56,254
56,2228
56,2669
56,2724
56,2856
56,4568
56,4624
57,705
57,710
57,944
57,1180
57,1182
57,1715
57,2921
57,4339
58,735
58,1632
58,1805
58,2270
58,2331
58,2392
58,2468
58,2472
58,3244
58,3541
58,3811
58,4248
58,4548
59,589
59,990
59,1245
59,1656
59,1888
59,1909
59,2181
59,2350
59,2470
59,2710
59,2742
59,2863
59,2931
59,3053
59,3059
59,3997
59,4927
60,75
60,156
60,449
60,652
60,711
60,754
60,1408
60,2054
60,2940
60,4820
61,281
61,2753
61,3840
61,4257
62,338
62,466
62,1141
62,1641
62,2256
62,3307
62,3720
63,1127
63,1340
63,2128
63,2871
63,2984
63,3259
63,3460
63,3705
63,3805
63,4798
64,468
64,509
64,2430
64,2456
64,2585
64,2605
64,2721
64,4167
64,4385
65,1269
65,1478
65,2124
65,2489
65,2593
65,3060
65,3327
65,4602
65,4783
66,376
66,1184
66,1387
66,1476
66,1956
66,2146
66,3307
66,3319
66,4517
66,4616
66,4884
67,84
67,129
67,2691
67,3300
67,3838
67,3856
67,4304
67,4931
67,4967
68,102
68,505
68,1068
68,1522
68,3045
68,3570
68,3995
68,4864
69,589
69,741
69,910
69,2873
69,3840
69,3877
69,4758
69,4982
70,766
70,1310
70,1691
70,1706
70,1846
70,3019
70,3194
70,3408
70,4564
71,327
71,1571
71,1669
71,2396
71,2500
71,2631
71,3840
71,4359
71,4952
72,146
72,625
72,1087
72,1837
72,2384
72,3265
72,3668
72,4564
72,4885
73,169
73,784
73,877
73,1018
73,1317
73,1781
73,1812
73,2718
73,3666
73,4061
74,114
74,796
74,2437
74,2585
74,2671
74,2889
74,2967
74,2981
74,4482
74,4809
75,591
75,599
75,1717
75,2096
75,2650
75,2693
75,3338
75,3361
75,4889
76,110
76,789
76,1577
76,1756
76,2180
76,2414
76,3064
76,3511
76,4101
76,4248
76,4452
76,4605
76,4670
77,417
77,891
77,1005
77,1230
77,1559
77,1586
77,1620
77,1662
77,2368
77,3025
77,3321
77,3864
77,4423
77,4826
78,577
78,1283
78,1684
78,1890
78,1967
78,2190
78,2366
78,2496
78,2911
78,2987
78,3030
78,3068
78,3619
78,4343
79,1697
79,2612
79,2942
79,3091
79,3841
79,4173
79,4800
79,4814
79,4960
80,691
80,1340
80,1867
80,2748
80,3864
80,4285
80,4333
80,4645
81,786
81,1232
81,1293
81,1359
81,1723
81,1925
81,1959
81,2747
81,2991
81,3362
81,3863
81,4587
81,4831
82,302
82,991
82,1166
82,1569
82,1759
82,1844
82,2098
82,2155
82,3089
82,4712
83,376
83,618
83,1184
83,1433
83,1895
83,2127
83,2360
83,2496
83,2505
83,2740
83,4684
84,254
84,298
84,1108
84,1126
84,1199
84,1446
84,1950
84,2309
84,2794
84,4853
85,372
85,452
85,746
85,1531
85,1701
85,3220
85,3631
85,4742
86,227
86,1039
86,1572
86,2222
86,2940
86,2984
86,3080
87,302
87,683
87,896
87,1287
87,1976
87,2331
87,2700
87,2727
87,2762
87,3070
87,3695
87,4134
87,4693
88,861
88,1215
88,2082
88,2245
88,2598
88,3055
88,3322
88,3974
88,4133
88,4172
88,4173
88,4255
88,4469
88,4645
88,4725
88,4959
89,137
89,2796
89,3238
89,3367
89,3586
89,4097
89,4155
90,1938
90,1950
90,2075
90,2676
90,2885
90,4489
91,959
91,1001
91,1033
91,1635
91,2537
91,3237
91,3737
91,3864
91,4374
91,4419
92,112
92,192
92,729
92,823
92,875
92,902
92,1105
92,1422
92,2415
92,2818
92,3064
92,3713
92,3915
92,4734
93,230
93,905
93,1030
93,2989
93,3808
93,4400
93,4468
93,4525
93,4557
94,608
94,639
94,644
94,684
94,762
94,1087
94,1157
94,1924
94,2047
94,2231
94,2323
94,2377
94,2589
94,4121
94,4349
94,4472
94,4940
95,203
95,546
95,1056
95,1150
95,1180
95,1358
95,3806
96,724
96,1857
96,2641
96,2648
96,3063
96,3166
96,3254
96,3900
96,4194
96,4516
96,4942
97,807
97,2721
97,4195
97,4289
97,4830
97,4860
97,4927
98,1550
98,1997
98,2681
98,3027
98,3197
98,3344
98,3874
98,4687
98,4948
99,2807
99,2824
99,2883
99,3602
99,4141
99,4927
100,209
100,267
100,314
100,769
100,1946
100,2181
100,2282
100,2405
100,3945
100,4146
100,4218
100,4823
101,277
101,1781
101,1791
101,1824
101,1852
101,2450
101,2484
101,2641
101,2839
101,3435
101,3556
101,3650
102,520
102,684
102,736
102,1053
102,1291
102,1800
102,2048
102,2434
102,2832
102,3027
102,4053
102,4466
103,1084
103,1243
103,2847
103,2884
103,3916
103,4455
103,4647
104,320
104,332
104,461
104,469
104,753
104,976
104,1162
104,1372
104,1423
104,1594
104,1939
104,3106
104,3304
104,3591
104,3694
104,4139
104,4993
105,211
105,564
105,772
105,862
105,2043
105,3502
105,4086
105,4694
105,4882
106,544
106,1345
106,1385
106,1405
106,2199
106,2430
106,2995
106,4613
107,1020
107,2113
107,2639
107,2914
107,3048
107,3467
107,3591
107,4887
108,1293
108,1645
108,1973
108,1977
108,3366
108,3682
108,3698
108,3851
109,352
109,940
109,1427
109,1612
109,1691
109,1847
109,2351
109,3102
109,3294
109,3920
109,3960
109,4012
109,4145
109,4391
109,4531
109,4562
109,4799
109,4807
109,4936
110,116
110,731
110,948
110,1213
110,1595
110,2650
110,2804
110,3379
111,126
111,500
111,659
111,1056
111,1465
111,1500
111,2630
111,3914
111,3957
111,4303
111,4319
111,4432
112,327
112,659
112,959
112,1109
112,3314
112,3324
112,3587
112,3770
113,180
113,654
113,723
113,843
113,881
113,1840
113,2389
113,2830
113,2894
113,3922
113,4855
114,338
114,483
114,1212
114,1610
114,3018
114,4134
115,471
115,774
115,855
115,2220
115,2623
115,3514
115,3686
116,2859
116,2888
116,4264
116,4702
117,176
117,370
117,420
117,1121
117,2253
117,2474
117,2650
117,3232
117,3771
117,3879
117,4568
117,4763
118,1752
118,2248
118,2373
118,2640
118,3067
118,3133
118,3703
118,3882
118,3994
118,4089
118,4511
119,270
119,602
119,1115
119,1177
119,1472
119,1789
119,2432
119,3206
119,3879
119,4414
120,971
120,1144
120,1508
120,1634
120,1882
120,2135
120,3141
120,3443
120,3569
120,4072
121,1739
121,2051
121,2258
121,3265
121,3334
121,4019
121,4113
121,4250
122,606
122,1059
122,2670
122,3135
122,3729
122,3800
122,4240
122,4322
122,4401
123,807
123,991
123,1125
123,1905
123,2689
123,3035
123,3412
123,3594
123,3863
123,4253
123,4811
124,703
124,823
124,1076
124,1141
124,1172
124,1681
124,1716
124,1786
124,2067
124,2994
124,3542
124,3629
124,4544
124,4754
124,4833
124,4950
125,234
125,658
125,915
125,964
125,3019
125,3730
125,4704
125,4830
126,2182
126,2216
126,3708
126,4020
126,4206
126,4513
127,917
127,2374
127,2838
127,3356
127,3878
127,4018
128,444
128,595
128,889
128,1076
128,1283
128,2219
128,2821
128,4477
128,4937
128,4943
129,486
129,629
129,798
129,2145
129,2800
129,3606
129,4667
129,4679
130,324
130,540
130,937
130,1281
130,3917
130,4572
130,4739
130,4916
131,950
131,1822
131,1908
131,2188
131,2609
131,2838
131,3642
132,289
132,422
132,584
132,1524
132,1599
132,2320
132,2613
132,2741
132,2918
132,2995
132,3154
132,3351
132,3695
132,4380
132,4742
133,181
133,1975
133,3567
133,3636
133,3734
133,4055
134,214
134,1039
134,2567
134,3039
134,3628
135,311
135,468
135,684
135,834
135,1489
135,1781
135,1869
135,1924
135,2480
135,2783
135,3127
135,3129
135,3567
135,3854
135,3982
135,4298
135,4454
135,4766
135,4899
136,702
136,1111
136,1264
136,2098
136,2443
136,2483
136,2911
136,3054
136,3115
136,3430
136,3471
137,465
137,626
137,985
137,2332
137,2643
137,3645
137,3659
137,4466
137,4850
138,533
138,964
138,965
138,1022
138,2407
138,2737
138,2835
138,3156
138,3219
138,3396
138,4269
138,4587
138,4685
139,173
139,927
139,1321
139,1819
139,2022
139,2689
139,3107
139,3210
139,3227
139,3337
139,3631
139,4015
139,4981
140,163
140,196
140,530
140,1317
140,1340
140,1408
140,1746
140,2313
140,2492
140,2675
140,3120
140,3545
140,4154
140,4328
141,702
141,1156
141,1581
141,1681
141,2769
141,3818
141,3977
142,565
142,785
142,1882
142,2617
142,2932
142,3323
142,4401
142,4548
143,445
143,896
143,2041
143,2764
143,2797
143,3206
143,3823
143,3864
143,3910
143,3916
143,4131
143,4261
143,4324
144,411
144,689
144,1836
144,2074
144,3131
144,3867
144,4065
144,4765
145,483
145,912
145,1154
145,2728
145,2820
145,3804
145,3998
145,4351
145,4566
146,451
146,452
146,578
146,773
146,944
146,1292
146,1472
146,2651
146,2765
146,3068
146,3811
147,1410
147,2451
147,2991
147,3023
147,4367
147,4899
148,373
148,598
148,748
148,867
148,1845
148,2171
148,2634
148,3367
148,3620
148,4169
148,4246
149,1196
149,1483
149,3228
149,3799
149,4940
150,181
150,1576
150,2312
150,2897
150,3762
150,4005
150,4095
150,4506
151,156
151,171
151,1014
151,1201
151,1366
151,1558
151,1699
151,2188
151,2193
151,2744
151,2808
151,2874
151,3003
151,3373
151,3519
151,4267
152,496
152,1586
152,1882
152,2280
152,2593
152,3074
152,3625
152,3707
152,3885
152,4879
153,155
153,165
153,477
153,1535
153,1993
153,2004
153,4082
153,4760
154,404
154,1148
154,1275
154,1741
154,2225
154,2669
154,3024
154,3710
154,3988
154,4526
154,4582
155,1156
155,2399
155,2450
155,3773
155,4563
155,4825
156,387
156,605
156,833
156,1876
156,3025
156,3273
156,3396
156,3613
156,3661
156,3930
156,3953
156,3972
156,4215
156,4995
