voter_id,agent_type,loyalty,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,initial_vote
0,strategic,0.0,Zemmour,Arthaud,Poutou,Melenchon,Le Pen,Lassalle,Pecresse,Roussel,Jadot,Macron,Hidalgo,Dupont-Aignan,Zemmour
1,strategic,0.0,Lassalle,Jadot,Hidalgo,Melenchon,Zemmour,Le Pen,Roussel,Macron,Arthaud,Poutou,Pecresse,Dupont-Aignan,Lassalle
2,stubborn,1.0,Dupont-Aignan,Poutou,Hidalgo,Pecresse,Zemmour,Arthaud,Le Pen,Melenchon,Lassalle,Jadot,Roussel,Macron,Dupont-Aignan
3,stubborn,1.0,Jadot,Melenchon,Lassalle,Roussel,Zemmour,Arthaud,Hidalgo,Poutou,Macron,Pecresse,Dupont-Aignan,Le Pen,Jadot
4,mixed,0.6,Arthaud,Melenchon,Poutou,Macron,Roussel,Pecresse,Le Pen,Zemmour,Hidalgo,Lassalle,Jadot,Dupont-Aignan,Arthaud
5,strategic,0.0,Le Pen,Hidalgo,Macron,Jadot,Poutou,Roussel,Dupont-Aignan,Zemmour,Melenchon,Arthaud,Lassalle,Pecresse,Le Pen
6,mixed,0.6,Melenchon,Jadot,Arthaud,Poutou,Macron,Le Pen,Pecresse,Hidalgo,Roussel,Lassalle,Zemmour,Dupont-Aignan,Melenchon
7,strategic,0.0,Le Pen,Melenchon,Poutou,Dupont-Aignan,Roussel,Macron,Arthaud,Pecresse,Jadot,Lassalle,Zemmour,Hidalgo,Le Pen
8,strategic,0.0,Melenchon,Pecresse,Dupont-Aignan,Arthaud,Zemmour,Roussel,Poutou,Jadot,Le Pen,Macron,Hidalgo,Lassalle,Melenchon
9,strategic,0.0,Melenchon,Le Pen,Arthaud,Hidalgo,Jadot,Zemmour,Dupont-Aignan,Lassalle,Pecresse,Roussel,Poutou,Macron,Melenchon
