voter_id,agent_type,loyalty,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,initial_vote
0,strategic,0.0,Melenchon,Arthaud,Pecresse,Lassalle,Poutou,Zemmour,Jadot,Roussel,Macron,Le Pen,Hidalgo,Dupont-Aignan,Melenchon
1,stubborn,1.0,Le Pen,Lassalle,Roussel,Poutou,Zemmour,Pecresse,Jadot,Arthaud,Macron,Melenchon,Dupont-Aignan,Hidalgo,Le Pen
2,mixed,0.6,Roussel,Poutou,Lassalle,Macron,Hidalgo,Melenchon,Jadot,Arthaud,Dupont-Aignan,Le Pen,Zemmour,Pecresse,Roussel
3,stubborn,1.0,Lassalle,Arthaud,Le Pen,Roussel,Dupont-Aignan,Zemmour,Poutou,Macron,Melenchon,Pecresse,Hidalgo,Jadot,Lassalle
4,stubborn,1.0,Jadot,Arthaud,Dupont-Aignan,Le Pen,Roussel,Hidalgo,Macron,Melenchon,Lassalle,Pecresse,Zemmour,Poutou,Jadot
5,mixed,0.6,Le Pen,Lassalle,Poutou,Roussel,Jadot,Dupont-Aignan,Melenchon,Macron,Pecresse,Zemmour,Hidalgo,Arthaud,Le Pen
6,strategic,0.0,Macron,Le Pen,Jadot,Pecresse,Hidalgo,Poutou,Melenchon,Arthaud,Zemmour,Roussel,Lassalle,Dupont-Aignan,Macron
7,mixed,0.6,Pecresse,Zemmour,Macron,Poutou,Roussel,Dupont-Aignan,Arthaud,Hidalgo,Jadot,Lassalle,Le Pen,Melenchon,Pecresse
8,stubborn,1.0,Arthaud,Poutou,Roussel,Zemmour,Macron,Jadot,Dupont-Aignan,Lassalle,Pecresse,Melenchon,Le Pen,Hidalgo,Arthaud
9,strategic,0.0,Arthaud,Macron,Hidalgo,Pecresse,Poutou,Dupont-Aignan,Zemmour,Lassalle,Roussel,Le Pen,Melenchon,Jadot,Arthaud
10,stubborn,1.0,Hidalgo,Melenchon,Pecresse,Jadot,Dupont-Aignan,Arthaud,Macron,Roussel,Zemmour,Le Pen,Poutou,Lassalle,Hidalgo
11,stubborn,1.0,Poutou,Roussel,Zemmour,Jadot,Lassalle,Arthaud,Macron,Dupont-Aignan,Melenchon,Hidalgo,Pecresse,Le Pen,Poutou
12,strategic,0.0,Melenchon,Roussel,Lassalle,Pecresse,Macron,Zemmour,Le Pen,Hidalgo,Dupont-Aignan,Jadot,Poutou,Arthaud,Melenchon
13,strategic,0.0,Zemmour,Pecresse,Le Pen,Jadot,Dupont-Aignan,Melenchon,Roussel,Lassalle,Hidalgo,Arthaud,Poutou,Macron,Zemmour
14,strategic,0.0,Lassalle,Macron,Roussel,Zemmour,Arthaud,Pecresse,Melenchon,Le Pen,Jadot,Poutou,Dupont-Aignan,Hidalgo,Lassalle
15,mixed,0.6,Melenchon,Zemmour,Macron,Jadot,Le Pen,Pecresse,Lassalle,Poutou,Arthaud,Hidalgo,Roussel,Dupont-Aignan,Melenchon
16,strategic,0.0,Dupont-Aignan,Poutou,Macron,Arthaud,Roussel,Melenchon,Hidalgo,Lassalle,Jadot,Pecresse,Le Pen,Zemmour,Dupont-Aignan
17,strategic,0.0,Le Pen,Zemmour,Lassalle,Melenchon,Arthaud,Pecresse,Poutou,Macron,Jadot,Hidalgo,Dupont-Aignan,Roussel,Le Pen
18,strategic,0.0,Macron,Arthaud,Pecresse,Zemmour,Jadot,Poutou,Dupont-Aignan,Hidalgo,Le Pen,Lassalle,Roussel,Melenchon,Macron
19,stubborn,1.0,Hidalgo,Arthaud,Jadot,Le Pen,Roussel,Macron,Pecresse,Dupont-Aignan,Poutou,Melenchon,Zemmour,Lassalle,Hidalgo
20,mixed,0.6,Macron,Hidalgo,Roussel,Arthaud,Pecresse,Le Pen,Lassalle,Zemmour,Jadot,Dupont-Aignan,Melenchon,Poutou,Macron
21,strategic,0.0,Melenchon,Zemmour,Poutou,Dupont-Aignan,Roussel,Le Pen,Arthaud,Lassalle,Jadot,Hidalgo,Macron,Pecresse,Melenchon
22,strategic,0.0,Lassalle,Zemmour,Arthaud,Pecresse,Dupont-Aignan,Roussel,Le Pen,Macron,Hidalgo,Jadot,Poutou,Melenchon,Lassalle
23,strategic,0.0,Melenchon,Dupont-Aignan,Macron,Pecresse,Poutou,Le Pen,Roussel,Arthaud,Lassalle,Jadot,Hidalgo,Zemmour,Melenchon
24,mixed,0.6,Roussel,Le Pen,Pecresse,Jadot,Melenchon,Macron,Lassalle,Dupont-Aignan,Hidalgo,Arthaud,Poutou,Zemmour,Roussel
25,strategic,0.0,Dupont-Aignan,Macron,Le Pen,Hidalgo,Zemmour,Roussel,Arthaud,Poutou,Lassalle,Jadot,Melenchon,Pecresse,Dupont-Aignan
26,stubborn,1.0,Poutou,Jadot,Hidalgo,Macron,Roussel,Pecresse,Le Pen,Zemmour,Melenchon,Lassalle,Dupont-Aignan,Arthaud,Poutou
27,stubborn,1.0,Macron,Jadot,Zemmour,Dupont-Aignan,Melenchon,Hidalgo,Arthaud,Le Pen,Pecresse,Lassalle,Roussel,Poutou,Macron
28,mixed,0.6,Lassalle,Melenchon,Dupont-Aignan,Poutou,Pecresse,Hidalgo,Jadot,Le Pen,Arthaud,Macron,Zemmour,Roussel,Lassalle
29,strategic,0.0,Zemmour,Le Pen,Jadot,Macron,Dupont-Aignan,Arthaud,Poutou,Lassalle,Pecresse,Hidalgo,Roussel,Melenchon,Zemmour
30,strategic,0.0,Zemmour,Macron,Roussel,Le Pen,Melenchon,Poutou,Dupont-Aignan,Pecresse,Jadot,Hidalgo,Lassalle,Arthaud,Zemmour
31,strategic,0.0,Zemmour,Macron,Jadot,Hidalgo,Roussel,Le Pen,Poutou,Pecresse,Dupont-Aignan,Lassalle,Arthaud,Melenchon,Zemmour
32,strategic,0.0,Poutou,Lassalle,Arthaud,Jadot,Roussel,Macron,Pecresse,Melenchon,Le Pen,Hidalgo,Dupont-Aignan,Zemmour,Poutou
33,stubborn,1.0,Arthaud,Poutou,Pecresse,Jadot,Zemmour,Macron,Melenchon,Roussel,Lassalle,Le Pen,Dupont-Aignan,Hidalgo,Arthaud
