source,target
0,317
0,521
0,1018
0,1021
0,1136
0,1209
0,1395
0,1463
0,1584
0,1820
0,2073
0,2495
0,2976
1,45
1,162
1,424
1,513
1,632
1,1159
1,1312
1,1930
1,2150
1,2539
1,2560
1,2697
1,2736
2,303
2,319
2,604
2,1000
2,1550
2,1865
2,2927
3,523
3,699
3,1957
3,2232
3,2566
3,2758
4,46
4,615
4,1339
4,1874
4,2000
4,2091
4,2123
4,2138
4,2286
4,2452
5,549
5,1049
5,1258
5,1944
5,2039
5,2364
5,2654
6,242
6,945
6,1652
6,2758
7,535
7,2155
7,2407
7,2671
7,2914
8,36
8,109
8,438
8,483
8,1142
8,1293
8,1301
8,1727
8,1947
9,153
9,242
9,243
9,565
9,611
9,914
9,1002
9,1174
9,1927
9,1964
9,1993
9,2038
9,2251
9,2579
10,109
10,464
10,564
10,703
10,985
10,1612
10,1738
10,1915
10,1943
10,2183
10,2295
11,204
11,460
11,703
11,2146
11,2329
11,2469
11,2773
12,66
12,824
12,964
12,1206
12,1349
12,1416
12,1951
12,2220
12,2426
12,2483
13,571
13,612
13,901
13,903
13,1054
13,1088
13,1385
13,1697
13,2496
13,2737
13,2843
14,282
14,309
14,678
14,1110
14,1466
14,2108
14,2128
15,22
15,62
15,137
15,665
15,742
15,931
15,1024
15,1398
15,1953
15,2184
15,2397
15,2654
15,2811
15,2886
16,578
16,662
16,832
16,956
16,1199
16,2143
16,2310
16,2519
17,48
17,475
17,725
17,1536
17,1554
17,1960
17,2037
17,2107
17,2150
17,2227
17,2334
17,2355
17,2851
18,495
18,549
18,567
18,1155
18,1178
18,1399
18,2140
18,2456
19,46
19,63
19,66
19,268
19,632
19,657
19,884
19,1405
19,1456
19,1609
19,2290
19,2647
19,2739
19,2928
20,159
20,777
20,858
20,905
20,944
20,1531
20,1945
20,2285
21,49
21,299
21,498
21,887
21,1275
21,1314
21,1359
21,2373
21,2407
21,2471
22,60
22,66
22,431
22,560
22,690
22,739
22,811
22,1051
22,1245
22,1381
22,1405
22,2171
22,2241
22,2338
22,2360
22,2435
22,2833
23,250
23,503
23,655
23,713
23,827
23,1025
23,1248
23,2420
24,654
24,808
24,981
24,984
24,1182
24,2169
24,2309
24,2376
24,2602
25,503
25,508
25,561
25,1001
25,1266
25,1350
25,1558
25,1710
25,1797
25,2146
25,2467
26,91
26,209
26,575
26,1075
26,1381
26,1385
26,1607
26,2188
26,2506
26,2753
27,37
27,109
27,1412
27,1570
27,1655
27,2198
27,2349
27,2940
28,509
28,512
28,913
28,1011
28,1456
28,1716
28,1932
28,2795
29,1327
29,1920
29,2341
29,2731
30,309
30,551
30,1870
30,1957
30,2005
30,2690
30,2854
31,378
31,833
31,946
31,1156
31,1165
31,1194
31,1632
31,1952
31,2050
31,2156
31,2595
31,2819
31,2864
31,2906
32,227
32,704
32,1078
32,1211
32,1357
32,1513
32,1655
32,2030
32,2137
32,2229
32,2241
32,2304
32,2400
32,2799
32,2823
33,280
33,449
33,450
33,1471
33,1768
33,2405
33,2678
34,1439
34,2371
34,2556
34,2908
35,754
35,1678
35,2073
35,2093
35,2361
36,180
36,471
36,494
36,631
36,1048
36,1108
36,1113
36,1526
36,2724
36,2745
37,312
37,985
37,1088
37,1229
37,1238
37,1332
37,1770
37,2210
37,2896
38,176
38,300
38,412
38,714
38,846
38,969
38,1094
38,1302
38,1332
38,1353
38,1393
38,1481
38,1714
38,1977
38,2571
38,2638
38,2791
39,660
39,824
39,1140
39,1176
39,1822
39,2426
40,83
40,145
40,682
40,927
40,1288
40,1391
40,1460
40,1964
40,2610
40,2665
40,2831
40,2984
41,56
41,110
41,298
41,850
41,1047
41,1318
41,1561
41,1767
41,2161
41,2402
41,2495
41,2603
41,2995
42,143
42,339
42,622
42,1392
42,1556
42,2479
42,2499
42,2875
43,315
43,1004
43,1243
43,1403
43,1561
43,2088
43,2139
43,2514
43,2799
43,2905
43,2955
44,531
44,612
44,676
44,1372
44,1508
44,2439
45,880
45,1387
45,1435
45,2148
45,2174
45,2373
45,2416
45,2567
45,2706
45,2851
46,242
46,437
46,741
46,797
46,1460
46,1559
46,1827
46,1886
46,2163
46,2255
46,2556
46,2870
47,318
47,482
47,495
47,920
47,1003
47,1066
47,1104
47,1422
47,1713
47,2037
47,2122
47,2323
47,2441
47,2547
47,2555
47,2588
47,2622
47,2623
48,516
48,882
48,1163
48,1729
48,2888
48,2946
49,388
49,676
49,1050
49,1141
49,1532
49,1846
49,2642
49,2671
49,2989
50,279
50,1554
50,1945
50,2360
50,2486
50,2629
50,2921
50,2956
51,359
51,477
51,847
51,1097
51,1646
51,2581
51,2583
51,2638
51,2881
52,218
52,438
52,948
52,1297
52,1464
52,1554
52,1661
52,1766
52,1881
52,2329
53,462
53,496
53,545
53,616
53,1525
53,1755
53,1777
53,1891
53,1938
53,1958
53,2377
54,961
54,980
54,1055
54,1779
54,1901
54,2026
54,2315
54,2442
54,2528
54,2969
55,978
55,1693
55,1767
55,2174
55,2338
55,2390
55,2464
55,2496
55,2673
56,171
56,241
56,462
56,976
56,995
56,1475
56,1736
56,2658
56,2866
57,400
57,433
57,505
57,601
57,901
57,1058
57,1201
57,1621
57,1654
57,2249
57,2804
58,67
58,101
58,323
58,448
58,591
58,1242
58,1379
58,1564
58,1982
58,2405
58,2489
58,2708
58,2959
59,755
59,952
59,1292
59,1437
59,1470
59,1472
59,1923
59,1988
59,2567
59,2619
59,2731
59,2816
59,2927
60,818
60,824
60,918
60,1126
60,1526
60,2517
60,2737
60,2836
61,715
61,1372
61,1543
61,1908
61,2415
61,2530
61,2599
61,2772
61,2778
62,286
62,418
62,560
62,856
62,1113
62,1770
62,2318
62,2508
63,421
63,1039
63,1487
63,1578
63,1810
63,1919
63,2120
63,2376
63,2444
63,2787
64,81
64,132
64,283
64,319
64,615
64,1564
64,2252
65,208
65,276
65,1032
65,1372
65,1432
65,1752
65,2281
65,2492
65,2811
66,215
66,488
66,1221
66,1951
66,2089
66,2199
66,2459
66,2713
66,2717
66,2779
67,272
67,402
67,697
67,947
67,1026
67,1061
67,1168
67,1689
67,2109
67,2123
67,2146
67,2396
68,281
68,873
68,958
68,1151
68,1210
68,1220
68,1358
68,1362
68,2200
68,2588
68,2632
69,664
69,1402
69,1465
69,1853
69,2071
69,2380
69,2888
70,106
70,234
70,660
70,1072
70,1592
70,1730
71,341
71,1199
71,1247
71,1365
71,2391
71,2793
71,2967
71,2989
72,330
72,567
72,960
72,1016
72,1057
72,1120
72,1128
72,1633
72,1636
72,2090
72,2480
72,2676
73,463
73,547
73,1253
73,1917
73,2065
73,2169
73,2461
73,2674
74,177
74,411
74,1003
74,1027
74,1116
74,1725
74,1746
74,2619
75,230
75,670
75,1448
75,1816
75,2264
75,2575
76,220
76,514
76,693
76,726
76,1031
76,1159
76,1172
76,1208
76,1246
76,1801
76,2010
76,2296
77,216
77,867
77,891
77,1213
77,1231
77,2066
77,2128
77,2179
77,2398
77,2636
78,98
78,214
78,440
78,674
78,945
78,1399
78,1779
78,2077
78,2144
78,2444
78,2530
78,2712
78,2893
78,2900
79,286
79,306
79,625
79,792
79,838
79,1189
79,1669
79,1757
79,2480
79,2561
79,2568
79,2623
80,123
80,539
80,777
80,829
80,1011
80,1642
80,1674
80,1755
80,2016
80,2222
80,2245
80,2332
80,2483
80,2698
80,2936
81,279
81,396
81,399
81,447
81,489
81,806
81,940
81,1042
81,1096
81,1124
81,1157
81,1189
81,1216
81,1240
81,1362
81,1661
81,2033
81,2124
81,2590
81,2621
81,2665
81,2892
82,622
82,960
82,979
82,1044
82,1541
82,1748
82,1863
82,2057
82,2097
82,2292
82,2657
83,581
83,664
83,684
83,823
83,865
83,1045
83,1847
83,2479
84,351
84,497
84,1131
84,2882
84,2888
85,122
85,388
85,645
85,1051
85,1521
85,1584
85,2117
85,2146
85,2496
85,2584
86,557
86,676
86,1447
86,1821
86,2148
86,2477
86,2758
86,2818
87,264
87,307
87,414
87,1629
87,1696
87,1802
87,1844
87,2098
87,2195
87,2299
88,281
88,326
88,358
88,761
88,1332
88,2038
88,2243
88,2363
88,2805
88,2982
89,314
89,712
89,765
89,1172
89,1331
89,1420
89,1928
89,2014
89,2036
89,2215
89,2264
89,2624
90,258
90,545
90,902
90,1235
90,1555
90,1607
90,1848
90,1913
90,1929
90,2282
90,2419
90,2755
90,2786
91,208
91,237
91,265
91,912
91,916
91,1100
91,1800
92,1029
92,1482
92,2122
92,2337
92,2667
92,2743
93,156
93,183
93,574
93,1040
93,1123
93,1149
93,1778
93,2502
93,2857
93,2971
94,376
94,1023
94,1031
94,1068
94,1161
94,1336
94,2149
94,2644
95,231
95,530
95,672
95,727
95,859
95,936
95,1875
95,2012
95,2079
95,2571
95,2627
96,437
96,454
96,577
96,747
96,752
96,986
96,1065
96,1122
96,1222
96,1224
96,1412
96,1757
96,2654
96,2963
97,322
97,787
97,1479
97,1616
97,1917
97,1931
97,2816
98,812
98,846
98,985
98,1450
98,1511
98,1572
98,1648
98,1652
98,2148
98,2424
98,2721
98,2746
98,2991
99,475
99,528
99,828
99,1231
99,1310
99,1775
99,1809
99,1872
99,2210
99,2465
99,2697
99,2876
100,209
100,230
100,502
100,567
100,671
100,791
100,1031
100,1063
100,1184
100,1252
100,1374
100,1380
100,2147
100,2225
100,2318
100,2701
100,2914
101,350
101,437
101,518
101,578
101,658
101,682
101,736
101,811
101,962
101,963
101,1014
101,1042
101,1073
101,1116
101,1770
101,1927
101,2085
101,2128
101,2416
102,405
102,783
102,1187
102,2201
102,2285
102,2684
103,1813
103,2260
104,452
104,869
104,987
104,1887
104,1936
104,2015
104,2298
104,2690
104,2737
104,2789
104,2801
105,296
105,657
105,881
105,911
105,1562
105,1962
105,2375
105,2455
106,520
106,892
106,1485
106,1566
106,1825
106,2038
106,2826
107,677
107,790
107,1065
107,1266
107,1511
107,1611
107,1715
107,2308
107,2604
108,318
108,359
108,887
108,1389
108,2280
108,2306
108,2435
108,2455
108,2571
109,1127
109,1132
109,1345
109,1451
109,2017
110,231
110,274
110,483
110,761
110,848
110,872
110,1129
110,1176
110,1494
110,1598
110,2065
110,2332
110,2650
111,545
111,708
111,719
111,900
111,1147
111,1285
111,1353
111,1426
111,1480
111,1938
111,2234
111,2248
111,2437
111,2526
111,2998
112,119
112,191
112,309
112,1470
112,1482
112,1530
112,2680
112,2690
112,2779
112,2889
112,2950
112,2995
113,161
113,230
113,293
113,338
113,526
113,697
113,863
113,2715
113,2900
114,624
114,1162
114,1180
114,1628
114,1890
114,2255
114,2291
114,2357
114,2566
114,2760
115,198
115,273
115,407
115,439
115,824
115,893
115,2388
115,2416
115,2941
115,2975
116,314
116,483
116,757
116,1110
116,1352
116,2007
116,2159
116,2328
116,2465
117,430
117,498
117,667
117,1409
117,1620
117,1768
117,1799
117,2237
117,2376
117,2413
118,413
118,637
118,1350
118,1866
118,1894
118,2275
118,2290
118,2320
118,2430
118,2916
119,723
119,898
119,1112
119,1409
119,2268
119,2959
120,1324
120,1422
120,2149
120,2253
120,2384
120,2729
121,613
121,715
121,1234
121,1827
121,1948
121,2427
121,2889
122,400
122,762
122,1074
122,1309
122,2190
122,2228
122,2356
122,2555
122,2593
123,230
123,399
123,613
123,934
123,1144
123,1759
123,1852
123,1993
123,2049
123,2093
123,2292
123,2756
123,2787
124,420
124,631
124,749
124,818
124,1005
124,1038
124,1218
124,1766
124,2161
124,2233
125,265
125,304
125,328
125,947
125,1916
125,2588
125,2736
125,2822
126,167
126,245
126,259
126,1052
126,1760
126,2087
126,2208
126,2793
126,2801
127,1047
127,1426
127,1980
127,2023
127,2325
127,2367
127,2668
127,2691
128,134
128,186
128,797
128,1168
128,1348
128,1492
128,1860
128,1888
128,2171
128,2853
128,2902
128,2925
128,2959
129,195
129,268
129,692
129,926
129,1576
129,2023
129,2613
129,2760
129,2964
130,163
130,248
130,313
130,465
130,839
130,982
130,1149
130,1323
130,1456
130,1570
130,1795
130,2124
130,2151
130,2185
130,2227
130,2302
130,2933
131,689
131,722
131,1018
131,1561
131,1610
131,2120
131,2523
131,2694
131,2709
132,328
132,400
132,1034
132,1435
132,1641
132,1718
132,1941
132,2057
132,2117
132,2232
132,2247
132,2662
132,2738
132,2781
132,2819
133,504
133,1228
133,2062
133,2265
134,330
134,637
134,1381
134,1426
134,1552
134,1882
134,2031
134,2373
134,2781
134,2788
135,140
135,249
135,416
135,545
135,876
135,890
135,894
135,1036
135,1425
135,1686
135,2335
135,2862
136,880
136,1244
136,1818
136,1996
136,2005
136,2126
136,2417
136,2465
136,2741
136,2777
137,836
137,885
137,974
137,1420
137,1481
137,1547
137,1817
137,1911
137,2113
137,2147
137,2383
137,2669
137,2935
138,318
138,689
138,1190
138,1914
138,2158
138,2530
138,2546
139,368
139,375
139,550
139,835
139,953
139,1143
139,1228
139,1482
139,1539
139,2473
139,2714
140,1237
140,1638
140,1817
140,2059
140,2139
140,2625
140,2874
141,209
141,315
141,478
141,577
141,710
141,808
141,943
141,1079
141,1088
141,1225
141,1323
141,1352
141,1754
141,1909
142,143
142,179
142,410
142,546
142,895
142,939
142,1749
142,1767
142,1840
142,2087
142,2415
142,2591
142,2950
143,312
143,367
143,579
143,609
143,2207
143,2314
143,2580
143,2638
143,2721
144,216
144,296
144,590
144,885
144,928
144,1375
144,1401
144,1461
144,1545
144,1749
144,2910
145,210
145,621
145,702
145,868
145,1021
145,1732
145,2130
145,2771
145,2942
146,224
146,384
146,497
146,622
146,1272
146,1376
146,1495
146,1712
146,1990
146,2034
146,2130
147,593
147,1412
147,1760
147,1793
147,1813
147,2006
147,2397
147,2484
147,2885
148,235
148,381
148,590
148,959
148,986
148,1021
148,1174
148,1329
148,1954
148,2393
148,2922
148,2952
149,1057
149,1181
149,1535
149,1630
149,2402
149,2565
149,2918
150,526
150,793
150,1445
150,1604
150,1643
150,1644
150,1726
150,1940
150,2116
150,2196
150,2430
150,2518
151,421
151,438
151,567
151,1013
151,1358
151,1494
151,1505
151,2329
151,2771
151,2900
152,246
152,272
152,783
152,814
152,841
152,1032
152,1087
152,1557
153,687
153,699
153,824
153,1277
153,1425
153,1634
154,393
154,1065
154,1491
154,1771
154,1813
154,1845
154,2447
155,505
155,1205
155,1705
155,1832
155,2342
155,2387
155,2987
156,224
156,761
156,855
156,907
156,934
156,1137
156,1454
156,2447
156,2850
157,254
157,545
157,636
157,903
157,931
157,1105
157,1734
157,1924
157,2326
158,160
158,285
158,1670
158,1725
158,2244
159,223
159,815
159,883
159,940
159,972
159,1847
159,1928
159,1959
159,1964
159,2004
159,2082
159,2120
159,2407
159,2477
159,2645
159,2703
159,2822
160,405
160,462
160,528
160,712
160,804
160,858
160,1070
160,2170
160,2236
160,2602
160,2654
160,2830
160,2953
161,583
161,750
161,804
161,1093
161,1210
161,1603
161,1697
161,1727
161,1905
161,2482
161,2731
162,1516
162,2872
163,501
163,712
163,1064
163,1148
163,1634
163,2086
163,2418
163,2425
163,2630
163,2840
163,2943
164,196
164,706
164,731
164,842
164,1136
