voter_id,agent_type,loyalty,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,initial_vote
0,strategic,0.0,Melenchon,Arthaud,Dupont-Aignan,Pecresse,Le Pen,Lassalle,Macron,Hidalgo,Poutou,Zemmour,Jadot,Roussel,Melenchon
1,stubborn,1.0,Zemmour,Hidalgo,Pecresse,Le Pen,Lassalle,Poutou,Roussel,Melenchon,Jadot,Arthaud,Macron,Dupont-Aignan,Zemmour
2,stubborn,1.0,Macron,Zemmour,Lassalle,Hidalgo,Arthaud,Poutou,Le Pen,Roussel,Dupont-Aignan,Melenchon,Pecresse,Jadot,Macron
3,stubborn,1.0,Melenchon,Pecresse,Jadot,Lassalle,Poutou,Zemmour,Macron,Arthaud,Dupont-Aignan,Le Pen,Roussel,Hidalgo,Melenchon
4,strategic,0.0,Pecresse,Melenchon,Macron,Poutou,Arthaud,Zemmour,Roussel,Lassalle,Jadot,Hidalgo,Le Pen,Dupont-Aignan,Pecresse
5,strategic,0.0,Zemmour,Melenchon,Dupont-Aignan,Hidalgo,Arthaud,Roussel,Lassalle,Jadot,Le Pen,Macron,Poutou,Pecresse,Zemmour
6,strategic,0.0,Le Pen,Macron,Poutou,Hidalgo,Arthaud,Roussel,Dupont-Aignan,Lassalle,Jadot,Melenchon,Pecresse,Zemmour,Le Pen
7,stubborn,1.0,Poutou,Le Pen,Pecresse,Hidalgo,Zemmour,Arthaud,Dupont-Aignan,Melenchon,Lassalle,Jadot,Roussel,Macron,Poutou
8,strategic,0.0,Poutou,Roussel,Hidalgo,Lassalle,Zemmour,Macron,Dupont-Aignan,Le Pen,Jadot,Melenchon,Arthaud,Pecresse,Poutou
9,strategic,0.0,Jadot,Melenchon,Hidalgo,Pecresse,Le Pen,Poutou,Lassalle,Roussel,Arthaud,Dupont-Aignan,Macron,Zemmour,Jadot
10,strategic,0.0,Dupont-Aignan,Melenchon,Arthaud,Lassalle,Pecresse,Macron,Jadot,Zemmour,Hidalgo,Le Pen,Roussel,Poutou,Dupont-Aignan
11,strategic,0.0,Arthaud,Macron,Poutou,Dupont-Aignan,Melenchon,Le Pen,Lassalle,Pecresse,Hidalgo,Roussel,Zemmour,Jadot,Arthaud
12,mixed,0.6,Arthaud,Le Pen,Poutou,Melenchon,Lassalle,Roussel,Zemmour,Dupont-Aignan,Hidalgo,Jadot,Pecresse,Macron,Arthaud
13,stubborn,1.0,Roussel,Poutou,Lassalle,Melenchon,Jadot,Macron,Arthaud,Le Pen,Dupont-Aignan,Pecresse,Zemmour,Hidalgo,Roussel
14,strategic,0.0,Arthaud,Poutou,Dupont-Aignan,Le Pen,Hidalgo,Pecresse,Roussel,Lassalle,Jadot,Macron,Melenchon,Zemmour,Arthaud
15,stubborn,1.0,Melenchon,Hidalgo,Macron,Roussel,Arthaud,Poutou,Zemmour,Pecresse,Lassalle,Dupont-Aignan,Jadot,Le Pen,Melenchon
16,strategic,0.0,Zemmour,Melenchon,Poutou,Le Pen,Arthaud,Roussel,Jadot,Hidalgo,Lassalle,Dupont-Aignan,Pecresse,Macron,Zemmour
17,mixed,0.6,Le Pen,Arthaud,Jadot,Dupont-Aignan,Poutou,Zemmour,Macron,Melenchon,Lassalle,Roussel,Hidalgo,Pecresse,Le Pen
18,stubborn,1.0,Zemmour,Hidalgo,Lassalle,Macron,Pecresse,Roussel,Jadot,Poutou,Melenchon,Dupont-Aignan,Arthaud,Le Pen,Zemmour
19,stubborn,1.0,Poutou,Roussel,Le Pen,Jadot,Dupont-Aignan,Hidalgo,Zemmour,Melenchon,Pecresse,Arthaud,Lassalle,Macron,Poutou
20,stubborn,1.0,Pecresse,Melenchon,Jadot,Zemmour,Arthaud,Le Pen,Macron,Dupont-Aignan,Roussel,Lassalle,Hidalgo,Poutou,Pecresse
21,strategic,0.0,Pecresse,Zemmour,Macron,Jadot,Lassalle,Poutou,Arthaud,Roussel,Hidalgo,Dupont-Aignan,Le Pen,Melenchon,Pecresse
22,mixed,0.6,Lassalle,Macron,Jadot,Pecresse,Roussel,Dupont-Aignan,Arthaud,Hidalgo,Le Pen,Zemmour,Melenchon,Poutou,Lassalle
23,strategic,0.0,Poutou,Jadot,Lassalle,Zemmour,Hidalgo,Arthaud,Melenchon,Roussel,Dupont-Aignan,Le Pen,Macron,Pecresse,Poutou
24,mixed,0.6,Hidalgo,Arthaud,Macron,Dupont-Aignan,Melenchon,Lassalle,Pecresse,Le Pen,Roussel,Jadot,Zemmour,Poutou,Hidalgo
25,stubborn,1.0,Le Pen,Pecresse,Macron,Zemmour,Roussel,Melenchon,Poutou,Hidalgo,Lassalle,Arthaud,Dupont-Aignan,Jadot,Le Pen
26,stubborn,1.0,Melenchon,Poutou,Le Pen,Lassalle,Jadot,Arthaud,Zemmour,Roussel,Pecresse,Dupont-Aignan,Hidalgo,Macron,Melenchon
27,stubborn,1.0,Jadot,Lassalle,Arthaud,Roussel,Hidalgo,Melenchon,Zemmour,Poutou,Pecresse,Macron,Dupont-Aignan,Le Pen,Jadot
28,stubborn,1.0,Macron,Arthaud,Jadot,Roussel,Hidalgo,Poutou,Dupont-Aignan,Le Pen,Zemmour,Melenchon,Lassalle,Pecresse,Macron
29,stubborn,1.0,Jadot,Melenchon,Arthaud,Dupont-Aignan,Pecresse,Hidalgo,Poutou,Lassalle,Roussel,Macron,Zemmour,Le Pen,Jadot
30,mixed,0.6,Hidalgo,Lassalle,Melenchon,Arthaud,Pecresse,Macron,Roussel,Dupont-Aignan,Poutou,Le Pen,Zemmour,Jadot,Hidalgo
31,stubborn,1.0,Hidalgo,Zemmour,Le Pen,Lassalle,Roussel,Jadot,Melenchon,Pecresse,Arthaud,Dupont-Aignan,Poutou,Macron,Hidalgo
32,stubborn,1.0,Dupont-Aignan,Melenchon,Roussel,Poutou,Zemmour,Hidalgo,Pecresse,Macron,Lassalle,Jadot,Arthaud,Le Pen,Dupont-Aignan
33,stubborn,1.0,Hidalgo,Zemmour,Pecresse,Dupont-Aignan,Melenchon,Macron,Jadot,Poutou,Lassalle,Arthaud,Roussel,Le Pen,Hidalgo
34,strategic,0.0,Lassalle,Dupont-Aignan,Poutou,Macron,Le Pen,Zemmour,Hidalgo,Roussel,Arthaud,Melenchon,Pecresse,Jadot,Lassalle
35,stubborn,1.0,Poutou,Zemmour,Pecresse,Lassalle,Melenchon,Roussel,Jadot,Hidalgo,Dupont-Aignan,Arthaud,Le Pen,Macron,Poutou
36,stubborn,1.0,Melenchon,Pecresse,Macron,Roussel,Poutou,Zemmour,Le Pen,Hidalgo,Arthaud,Jadot,Dupont-Aignan,Lassalle,Melenchon
37,stubborn,1.0,Roussel,Lassalle,Arthaud,Hidalgo,Zemmour,Jadot,Melenchon,Pecresse,Dupont-Aignan,Macron,Poutou,Le Pen,Roussel
38,strategic,0.0,Macron,Poutou,Melenchon,Pecresse,Arthaud,Le Pen,Hidalgo,Zemmour,Lassalle,Dupont-Aignan,Jadot,Roussel,Macron
