scenario_id,repetition_id,day,num_agents,network_type,preference_model,prop_stubborn,prop_strategic,prop_mixed,variance_scores,social_welfare,num_changes
D5,2,0,1000,erdos_renyi,IC,0.2,0.3,0.5,69.55555555555554,4.093,0
D5,2,1,1000,erdos_renyi,IC,0.2,0.3,0.5,376.22222222222234,4.152,286
D5,2,2,1000,erdos_renyi,IC,0.2,0.3,0.5,611.7222222222223,4.152,216
D5,2,3,1000,erdos_renyi,IC,0.2,0.3,0.5,723.7222222222223,4.152,190
D5,2,4,1000,erdos_renyi,IC,0.2,0.3,0.5,711.5555555555557,4.152,184
D5,2,5,1000,erdos_renyi,IC,0.2,0.3,0.5,660.8888888888888,4.152,183
D5,2,6,1000,erdos_renyi,IC,0.2,0.3,0.5,850.0555555555557,4.152,184
D5,2,7,1000,erdos_renyi,IC,0.2,0.3,0.5,884.888888888889,4.152,181
D5,2,8,1000,erdos_renyi,IC,0.2,0.3,0.5,981.0555555555555,4.152,166
D5,2,9,1000,erdos_renyi,IC,0.2,0.3,0.5,918.7222222222223,4.152,163
D5,2,10,1000,erdos_renyi,IC,0.2,0.3,0.5,907.5555555555555,4.152,163
D5,2,11,1000,erdos_renyi,IC,0.2,0.3,0.5,835.5555555555557,4.152,155
D5,2,12,1000,erdos_renyi,IC,0.2,0.3,0.5,933.5555555555557,4.152,144
D5,2,13,1000,erdos_renyi,IC,0.2,0.3,0.5,958.2222222222225,4.152,144
D5,2,14,1000,erdos_renyi,IC,0.2,0.3,0.5,916.7222222222221,4.152,148
D5,2,15,1000,erdos_renyi,IC,0.2,0.3,0.5,994.0555555555555,4.152,143
D5,2,16,1000,erdos_renyi,IC,0.2,0.3,0.5,927.388888888889,4.152,142
D5,2,17,1000,erdos_renyi,IC,0.2,0.3,0.5,1015.7222222222225,4.152,150
D5,2,18,1000,erdos_renyi,IC,0.2,0.3,0.5,1053.3888888888887,4.152,155
D5,2,19,1000,erdos_renyi,IC,0.2,0.3,0.5,1081.0555555555554,4.152,148
D5,2,20,1000,erdos_renyi,IC,0.2,0.3,0.5,1103.222222222222,4.152,142
D5,2,21,1000,erdos_renyi,IC,0.2,0.3,0.5,1115.7222222222222,4.152,148
D5,2,22,1000,erdos_renyi,IC,0.2,0.3,0.5,1083.7222222222222,4.152,141
D5,2,23,1000,erdos_renyi,IC,0.2,0.3,0.5,1110.722222222222,4.34,144
D5,2,24,1000,erdos_renyi,IC,0.2,0.3,0.5,1105.0555555555554,4.34,149
D5,2,25,1000,erdos_renyi,IC,0.2,0.3,0.5,1134.7222222222222,4.34,136
D5,2,26,1000,erdos_renyi,IC,0.2,0.3,0.5,1079.888888888889,4.152,135
D5,2,27,1000,erdos_renyi,IC,0.2,0.3,0.5,1176.0555555555554,4.34,136
D5,2,28,1000,erdos_renyi,IC,0.2,0.3,0.5,1075.7222222222224,4.152,122
D5,2,29,1000,erdos_renyi,IC,0.2,0.3,0.5,1095.2222222222222,4.152,121
D5,2,30,1000,erdos_renyi,IC,0.2,0.3,0.5,1070.3888888888887,4.152,122
D5,2,31,1000,erdos_renyi,IC,0.2,0.3,0.5,1226.5555555555557,4.152,123
D5,2,32,1000,erdos_renyi,IC,0.2,0.3,0.5,1100.888888888889,4.152,134
D5,2,33,1000,erdos_renyi,IC,0.2,0.3,0.5,1135.888888888889,4.152,127
D5,2,34,1000,erdos_renyi,IC,0.2,0.3,0.5,1069.0555555555554,4.152,120
D5,2,35,1000,erdos_renyi,IC,0.2,0.3,0.5,1299.7222222222222,4.152,130
D5,2,36,1000,erdos_renyi,IC,0.2,0.3,0.5,1039.7222222222222,4.34,135
D5,2,37,1000,erdos_renyi,IC,0.2,0.3,0.5,1202.3888888888887,4.34,125
D5,2,38,1000,erdos_renyi,IC,0.2,0.3,0.5,1130.3888888888887,4.152,114
D5,2,39,1000,erdos_renyi,IC,0.2,0.3,0.5,1295.3888888888887,4.34,120
D5,2,40,1000,erdos_renyi,IC,0.2,0.3,0.5,1158.388888888889,4.152,123
D5,2,41,1000,erdos_renyi,IC,0.2,0.3,0.5,1249.0555555555554,4.34,103
D5,2,42,1000,erdos_renyi,IC,0.2,0.3,0.5,1086.5555555555557,4.152,104
D5,2,43,1000,erdos_renyi,IC,0.2,0.3,0.5,1241.0555555555554,4.34,111
D5,2,44,1000,erdos_renyi,IC,0.2,0.3,0.5,1129.8888888888887,4.152,120
D5,2,45,1000,erdos_renyi,IC,0.2,0.3,0.5,1269.888888888889,4.152,122
D5,2,46,1000,erdos_renyi,IC,0.2,0.3,0.5,1155.2222222222222,4.34,127
D5,2,47,1000,erdos_renyi,IC,0.2,0.3,0.5,1277.5555555555557,4.34,116
D5,2,48,1000,erdos_renyi,IC,0.2,0.3,0.5,1164.3888888888887,4.34,119
D5,2,49,1000,erdos_renyi,IC,0.2,0.3,0.5,1304.388888888889,4.152,125
D5,2,50,1000,erdos_renyi,IC,0.2,0.3,0.5,1099.5555555555554,4.34,117
D5,2,51,1000,erdos_renyi,IC,0.2,0.3,0.5,1153.8888888888887,4.34,123
D5,2,52,1000,erdos_renyi,IC,0.2,0.3,0.5,1232.388888888889,4.34,134
D5,2,53,1000,erdos_renyi,IC,0.2,0.3,0.5,1210.7222222222224,4.34,123
D5,2,54,1000,erdos_renyi,IC,0.2,0.3,0.5,1209.3888888888885,4.34,109
D5,2,55,1000,erdos_renyi,IC,0.2,0.3,0.5,1317.055555555555,4.34,126
D5,2,56,1000,erdos_renyi,IC,0.2,0.3,0.5,1220.5555555555554,4.34,123
D5,2,57,1000,erdos_renyi,IC,0.2,0.3,0.5,1239.388888888889,4.34,114
D5,2,58,1000,erdos_renyi,IC,0.2,0.3,0.5,1255.3888888888887,4.34,118
D5,2,59,1000,erdos_renyi,IC,0.2,0.3,0.5,1307.222222222222,4.34,119
D5,2,60,1000,erdos_renyi,IC,0.2,0.3,0.5,1178.3888888888887,4.152,111
